file,target_points,algorithm,max_n,points,run_id,total_ms,build_ms,search_ms,merge_ms,final_ms,clusters
seq00_static_50k.ply,50000,FEC,0,50000,1,27.072877,6.627537,10.967121,7.001119,1.735072,39
seq00_static_50k.ply,50000,FEC,0,50000,2,25.675442,3.610907,11.604732,8.078693,1.614261,39
seq00_static_50k.ply,50000,FEC,0,50000,3,24.414706,3.660193,10.802304,7.666423,1.547389,39
seq00_static_50k.ply,50000,FEC,0,50000,4,26.290853,3.756915,11.642793,8.582323,1.593794,39
seq00_static_50k.ply,50000,FEC,0,50000,5,24.015690,3.628634,10.733211,7.301876,1.633996,39
seq00_static_50k.ply,50000,FEC,0,50000,6,26.620686,3.656936,12.122471,8.544928,1.549098,39
seq00_static_50k.ply,50000,FEC,0,50000,7,25.850150,3.600501,11.541868,8.397553,1.583001,39
seq00_static_50k.ply,50000,FEC1,0,50000,1,18.763231,3.561030,11.266886,1.263198,1.675801,39
seq00_static_50k.ply,50000,FEC1,0,50000,2,19.168835,3.673812,11.445686,1.380682,1.554656,39
seq00_static_50k.ply,50000,FEC1,0,50000,3,18.983774,3.741555,11.404365,1.258050,1.520709,39
seq00_static_50k.ply,50000,FEC1,0,50000,4,19.087140,3.747489,11.448863,1.282181,1.551097,39
seq00_static_50k.ply,50000,FEC1,0,50000,5,18.652254,3.716821,11.090676,1.243119,1.554526,39
seq00_static_50k.ply,50000,FEC1,0,50000,6,18.326281,3.586700,11.034432,1.178066,1.550506,39
seq00_static_50k.ply,50000,FEC1,0,50000,7,18.822975,3.577186,11.364754,1.307296,1.560653,39
seq00_static_50k.ply,50000,FECunion,0,50000,1,16.684104,3.591268,11.109985,0.567336,0.225263,39
seq00_static_50k.ply,50000,FECunion,0,50000,2,16.141949,3.687733,10.484342,0.703937,0.174172,39
seq00_static_50k.ply,50000,FECunion,0,50000,3,15.418885,3.492310,10.152363,0.544345,0.170732,39
seq00_static_50k.ply,50000,FECunion,0,50000,4,15.348745,3.553979,10.025778,0.595154,0.174301,39
seq00_static_50k.ply,50000,FECunion,0,50000,5,15.247766,3.491664,10.075456,0.537272,0.180105,39
seq00_static_50k.ply,50000,FECunion,0,50000,6,15.246863,3.516775,9.980702,0.568235,0.169528,39
seq00_static_50k.ply,50000,FECunion,0,50000,7,15.491991,3.787099,10.019668,0.548641,0.169280,39
seq00_static_50k.ply,50000,FEC,50,50000,1,22.540096,3.418353,9.942026,6.935670,1.516259,39
seq00_static_50k.ply,50000,FEC,50,50000,2,22.238255,3.449065,9.856971,6.765944,1.484043,39
seq00_static_50k.ply,50000,FEC,50,50000,3,21.973466,3.489118,9.485122,6.784534,1.505972,39
seq00_static_50k.ply,50000,FEC,50,50000,4,22.769573,3.460739,9.861400,7.250929,1.485494,39
seq00_static_50k.ply,50000,FEC,50,50000,5,22.632142,3.493654,9.684406,7.264756,1.493395,39
seq00_static_50k.ply,50000,FEC,50,50000,6,22.186981,3.459826,9.398702,7.163984,1.483118,39
seq00_static_50k.ply,50000,FEC,50,50000,7,21.926986,3.451226,9.474658,6.810793,1.500382,39
seq00_static_50k.ply,50000,FEC1,50,50000,1,17.137005,3.539101,10.125200,1.074943,1.494007,39
seq00_static_50k.ply,50000,FEC1,50,50000,2,18.330633,4.373702,9.991079,1.037544,2.002526,39
seq00_static_50k.ply,50000,FEC1,50,50000,3,16.732905,3.484023,9.872093,1.029050,1.443142,39
seq00_static_50k.ply,50000,FEC1,50,50000,4,16.822953,3.426836,10.019384,1.051544,1.429780,39
seq00_static_50k.ply,50000,FEC1,50,50000,5,16.898392,3.474939,9.993667,1.077019,1.456213,39
seq00_static_50k.ply,50000,FEC1,50,50000,6,17.082915,3.478217,9.968347,1.045917,1.502747,39
seq00_static_50k.ply,50000,FEC1,50,50000,7,17.704624,3.438198,10.721295,1.109558,1.498340,39
seq00_static_50k.ply,50000,FECunion,50,50000,1,14.552499,3.397447,9.499662,0.538146,0.191091,39
seq00_static_50k.ply,50000,FECunion,50,50000,2,14.343833,3.462566,9.247333,0.541400,0.166851,39
seq00_static_50k.ply,50000,FECunion,50,50000,3,15.471202,3.436349,10.241186,0.578479,0.178310,39
seq00_static_50k.ply,50000,FECunion,50,50000,4,14.432783,3.506833,9.282672,0.536090,0.164476,39
seq00_static_50k.ply,50000,FECunion,50,50000,5,14.494216,3.493901,9.345860,0.550015,0.165562,39
seq00_static_50k.ply,50000,FECunion,50,50000,6,14.483982,3.469887,9.364243,0.541390,0.167314,39
seq00_static_50k.ply,50000,FECunion,50,50000,7,14.949515,3.507392,9.727372,0.577209,0.168109,39
seq00_static_100k.ply,100000,FEC,0,100000,1,67.916433,8.878793,19.202875,35.243478,3.414947,78
seq00_static_100k.ply,100000,FEC,0,100000,2,68.740414,8.699806,19.676912,35.858385,3.348688,78
seq00_static_100k.ply,100000,FEC,0,100000,3,72.560846,8.295082,21.724977,38.072108,3.311344,78
seq00_static_100k.ply,100000,FEC,0,100000,4,69.697169,8.498493,21.241621,35.178300,3.601115,78
seq00_static_100k.ply,100000,FEC,0,100000,5,88.676815,11.161575,27.506007,45.064062,3.637823,78
seq00_static_100k.ply,100000,FEC,0,100000,6,72.239173,8.597161,23.496878,35.443493,3.519140,78
seq00_static_100k.ply,100000,FEC,0,100000,7,83.721648,8.554324,26.777825,43.340640,3.713832,78
seq00_static_100k.ply,100000,FEC1,0,100000,1,37.925626,9.871527,20.223983,2.410827,3.408078,78
seq00_static_100k.ply,100000,FEC1,0,100000,2,36.240850,8.227985,20.692373,2.301256,3.189694,78
