file,target_points,algorithm,max_n,points,kept_runs,clusters_median,total_mean_ms,total_std_ms,total_min_ms,total_max_ms,build_mean_ms,build_std_ms,build_min_ms,build_max_ms,search_mean_ms,search_std_ms,search_min_ms,search_max_ms,merge_mean_ms,merge_std_ms,merge_min_ms,merge_max_ms,final_mean_ms,final_std_ms,final_min_ms,final_max_ms
seq00_static_50k.ply,50000,FEC,0,50000,5,39,25.770367,0.843674,24.414706,26.620686,3.657090,0.061867,3.600501,3.756915,11.542834,0.473864,10.802304,12.122471,8.253984,0.383739,7.666423,8.582323,1.577509,0.028985,1.547389,1.614261
seq00_static_50k.ply,50000,FEC1,0,50000,5,39,18.861875,0.173773,18.652254,19.087140,3.668816,0.091922,3.561030,3.747489,11.315109,0.142317,11.090676,11.448863,1.270769,0.024739,1.243119,1.307296,1.572557,0.059739,1.520709,1.675801
seq00_static_50k.ply,50000,FECunion,0,50000,5,39,15.529867,0.353830,15.247766,16.141949,3.602557,0.130501,3.491664,3.787099,10.151521,0.193490,10.019668,10.484342,0.585870,0.069818,0.537272,0.703937,0.173718,0.004182,0.169280,0.180105
seq00_static_50k.ply,50000,FEC,50,50000,5,39,22.314188,0.269336,21.973466,22.632142,3.462003,0.030881,3.418353,3.493654,9.673445,0.232856,9.398702,9.942026,6.982978,0.224100,6.765944,7.264756,1.496557,0.014353,1.483118,1.516259
seq00_static_50k.ply,50000,FEC1,50,50000,5,39,17.129178,0.346546,16.822953,17.704624,3.471458,0.043962,3.426836,3.539101,10.165579,0.316338,9.968347,10.721295,1.071796,0.025214,1.045917,1.109558,1.476217,0.031884,1.429780,1.502747
seq00_static_50k.ply,50000,FECunion,50,50000,5,39,14.582599,0.209473,14.432783,14.949515,3.475092,0.045990,3.397447,3.507392,9.443962,0.177072,9.282672,9.727372,0.548570,0.016869,0.536090,0.577209,0.171310,0.011150,0.164476,0.191091
seq00_static_100k.ply,100000,FEC,0,100000,5,78,73.391850,6.000218,68.740414,83.721648,8.528973,0.150092,8.295082,8.699806,22.583643,2.711668,19.676912,26.777825,37.578585,3.417745,35.178300,43.340640,3.498824,0.169406,3.311344,3.713832
seq00_static_100k.ply,100000,FEC1,0,100000,5,78,35.634312,0.631209,34.773522,36.240850,8.370287,0.361393,8.140980,9.007903,20.177249,0.314663,19.833197,20.692373,2.147304,0.104256,2.007349,2.301256,3.182671,0.107011,3.068044,3.356718
seq00_static_100k.ply,100000,FECunion,0,100000,5,78,30.024156,0.372244,29.450922,30.443654,8.155549,0.109736,7.978331,8.247302,18.609064,0.265526,18.285997,18.987266,1.020459,0.021030,0.993027,1.044620,0.466502,0.004143,0.460813,0.470638
seq00_static_100k.ply,100000,FEC,50,100000,5,78,67.703326,1.982343,65.597263,69.736855,8.098918,0.122041,7.999078,8.305908,18.970483,0.352375,18.687825,19.544894,36.326452,1.643746,34.535630,37.880951,3.203744,0.050378,3.154072,3.287632
seq00_static_100k.ply,100000,FEC1,50,100000,5,78,32.676154,0.968806,31.187400,33.734007,8.173014,0.329617,7.685213,8.570071,18.142099,0.568217,17.373312,18.927939,1.871052,0.080434,1.757870,1.953686,2.941065,0.222967,2.760694,3.303250
seq00_static_100k.ply,100000,FECunion,50,100000,5,78,26.863450,0.275973,26.706466,27.347984,7.611477,0.320123,7.440639,8.181825,16.335586,0.052434,16.269840,16.399644,0.937259,0.011394,0.925399,0.952744,0.418731,0.004464,0.415278,0.424806
seq00_static_150k.ply,150000,FEC,0,150000,5,88,115.450400,0.756416,114.637041,116.614527,12.628190,0.408833,12.325728,13.324208,28.656960,0.496973,28.180594,29.404248,67.998744,0.554974,67.334689,68.651669,4.658271,0.212130,4.476875,5.011560
seq00_static_150k.ply,150000,FEC1,0,150000,5,88,50.142504,1.885237,48.244317,52.719037,12.657523,0.346629,12.376155,13.093115,27.838716,1.223906,26.394645,29.429606,2.829367,0.206430,2.631947,3.130026,4.373393,0.080792,4.271375,4.475092
seq00_static_150k.ply,150000,FECunion,0,150000,5,88,43.901642,0.545988,43.281940,44.544966,12.906982,0.132496,12.749433,13.061925,26.129480,0.377809,25.669894,26.650824,1.394716,0.026936,1.361402,1.427997,0.715301,0.021690,0.697604,0.752137
seq00_static_150k.ply,150000,FEC,50,150000,5,88,116.596408,2.230752,114.063552,119.655803,12.944607,0.213415,12.737711,13.196341,28.745978,2.274299,26.994937,32.208696,68.760007,1.750851,67.079584,71.657458,4.643599,0.115557,4.474360,4.778447
seq00_static_150k.ply,150000,FEC1,50,150000,5,88,51.067483,0.687238,50.136938,52.019800,12.847643,0.184887,12.691272,13.163990,27.928944,0.620667,26.933968,28.602343,2.957338,0.128720,2.735646,3.052368,4.570476,0.287518,4.372316,5.070261
seq00_static_150k.ply,150000,FECunion,50,150000,5,88,43.221776,0.149120,43.105776,43.481129,13.172155,0.275806,12.869921,13.599806,25.060307,0.309048,24.619546,25.379181,1.386495,0.027708,1.351488,1.428549,0.740161,0.062126,0.704227,0.850273
seq00_static_200k.ply,200000,FEC,0,200000,5,112,193.244281,2.894704,189.359669,196.884140,18.713014,0.526618,17.903304,19.299175,44.011688,2.932046,40.375384,47.995030,121.968677,0.377872,121.481781,122.378714,6.508403,0.218550,6.235959,6.796167
seq00_static_200k.ply,200000,FEC1,0,200000,5,112,67.422318,0.769824,66.129511,68.135346,17.525568,0.131294,17.432652,17.752880,37.311497,0.576456,36.440500,37.927641,3.467151,0.089363,3.383536,3.565301,6.081673,0.070138,5.992021,6.175519
seq00_static_200k.ply,200000,FECunion,0,200000,5,112,59.507197,0.603707,58.914862,60.166361,17.445308,0.132240,17.338357,17.665437,35.685977,0.448975,35.312969,36.295255,1.948335,0.014323,1.927611,1.966419,0.966681,0.012525,0.946224,0.977058
seq00_static_200k.ply,200000,FEC,50,200000,5,112,187.207891,3.412623,183.756161,191.917054,17.647360,0.440302,17.254095,18.370050,38.747655,1.491729,37.327948,40.483675,122.177611,2.355977,120.009830,126.033368,6.749486,0.881507,6.260186,8.321276
seq00_static_200k.ply,200000,FEC1,50,200000,5,112,67.680785,0.621222,66.976051,68.559155,17.926325,0.498505,17.558229,18.554775,36.895260,0.737362,36.056347,38.060901,3.577928,0.084477,3.488266,3.696072,5.985098,0.078520,5.899572,6.103477
seq00_static_200k.ply,200000,FECunion,50,200000,5,112,59.454758,0.751360,58.586788,60.427461,17.851852,0.301454,17.585914,18.357445,35.122338,0.663881,34.470653,36.191996,1.972908,0.037560,1.908264,2.002874,0.987261,0.029630,0.966875,1.039579
seq00_static_250k.ply,250000,FEC,0,250000,5,133,277.567228,3.446456,274.244401,282.822742,23.676631,0.582385,23.029392,24.253505,53.370937,2.664971,51.369864,57.640692,189.132963,2.365048,185.606167,191.826084,8.751197,0.774037,7.783297,9.871808
seq00_static_250k.ply,250000,FEC1,0,250000,5,133,80.849468,0.730685,80.022028,81.777199,21.833127,0.953723,21.095285,23.125006,44.201234,0.258916,43.934052,44.585767,4.025976,0.023044,3.997439,4.059378,7.083007,0.393236,6.876196,7.785232
seq00_static_250k.ply,250000,FECunion,0,250000,5,133,76.577379,1.659562,73.948947,78.176838,22.413642,0.885576,21.884021,23.956083,45.690927,1.190389,43.887558,46.773690,2.332375,0.057166,2.245999,2.379840,1.182844,0.025829,1.156525,1.211188
seq00_static_250k.ply,250000,FEC,50,250000,5,133,258.612189,5.587258,253.279556,265.145882,22.355296,1.758820,20.953146,25.300794,48.167235,2.559759,45.953678,51.137932,178.236933,1.898577,176.176695,180.359800,7.608169,0.492003,7.201072,8.404336
seq00_static_250k.ply,250000,FEC1,50,250000,5,133,86.462503,0.591120,85.840156,87.250292,23.178611,0.914820,21.685204,24.028939,46.948478,0.859910,45.884419,48.135053,4.380018,0.198725,4.169556,4.699267,7.973236,0.534365,7.591446,8.866229
seq00_static_250k.ply,250000,FECunion,50,250000,5,133,78.548392,3.305241,76.035675,83.605679,24.486566,1.609912,23.258620,26.413854,45.498224,1.359885,44.456741,47.831435,2.503280,0.086440,2.427325,2.611651,1.330704,0.125943,1.211324,1.540444
seq00_static_300k.ply,300000,FEC,0,300000,5,145,389.837253,14.637801,376.674008,411.076398,30.632391,1.600493,28.484096,32.433063,75.814398,9.359889,68.746590,89.790520,270.320610,4.465637,265.267196,276.251631,10.208513,0.105900,10.087203,10.334014
seq00_static_300k.ply,300000,FEC1,0,300000,5,145,106.486231,0.742556,105.684088,107.569069,28.641536,0.627896,28.030947,29.586638,58.313857,0.750064,57.497002,59.296679,5.184717,0.136708,5.055003,5.408167,9.505070,0.080360,9.412180,9.599615
seq00_static_300k.ply,300000,FECunion,0,300000,5,145,94.719121,0.683160,94.081816,95.686701,28.959730,0.937824,28.065161,30.399519,55.849527,0.663127,54.974514,56.615641,2.967730,0.035644,2.913534,3.001157,1.497290,0.033964,1.459809,1.551959
seq00_static_300k.ply,300000,FEC,50,300000,5,145,357.704443,7.332841,349.311392,366.198036,27.622902,1.069710,26.766199,29.381381,64.992038,5.062555,59.667259,72.750858,252.649193,4.252141,249.668228,259.504361,9.698983,0.535609,9.130702,10.543272
seq00_static_300k.ply,300000,FEC1,50,300000,5,145,100.797273,2.345384,98.385350,104.492096,26.757937,0.912784,25.849690,28.137658,55.355507,1.213468,54.202825,57.028128,4.998835,0.096104,4.896085,5.151472,8.942684,0.348871,8.692381,9.522708
seq00_static_300k.ply,300000,FECunion,50,300000,5,145,94.738794,1.865256,92.804419,97.056216,28.656989,1.031784,27.884000,30.445341,55.798765,1.285323,54.620142,57.812184,2.996171,0.041900,2.924472,3.028538,1.574539,0.215948,1.453216,1.957620
seq00_static_350k.ply,350000,FEC,0,350000,5,156,474.826887,8.147821,467.362971,486.685889,34.903498,1.106565,33.226437,36.314254,78.753659,4.490316,75.214980,86.325359,345.707285,5.272632,339.692712,350.296246,12.066118,0.445760,11.675772,12.799685
seq00_static_350k.ply,350000,FEC1,0,350000,5,156,128.454933,3.990163,124.935138,133.760542,34.771642,1.550630,33.721561,37.479771,69.459278,2.091959,67.277137,72.563737,6.170764,0.331365,5.795706,6.563106,12.162280,0.852156,11.103894,13.267738
seq00_static_350k.ply,350000,FECunion,0,350000,5,156,105.272887,0.394722,104.826129,105.825326,32.166352,0.380837,31.776770,32.739565,61.468958,0.573454,60.811824,62.302432,3.317653,0.058125,3.243255,3.405770,1.689754,0.262254,1.564858,2.158725
