target_points,algorithm,best_ms,mean_ms,fps_best,clusters
50000,FECunion,16.698288,16.850082,59.886379,52
50000,FEC,22.615426,22.654536,44.217606,52
100000,FECunion,27.229962,27.804939,36.724252,95
100000,FEC,46.683482,46.775148,21.420853,95
150000,FECunion,40.270407,42.418089,24.832130,120
150000,FEC,84.723618,85.211312,11.803084,120
200000,FECunion,54.044925,54.367194,18.503125,159
200000,FEC,130.287508,132.522870,7.675333,159
250000,FECunion,69.625869,70.342033,14.362478,194
250000,FEC,205.627000,206.685165,4.863175,194
300000,FECunion,86.852375,87.559810,11.513790,235
300000,FEC,278.205022,278.931728,3.594471,235
350000,FECunion,105.982393,108.471501,9.435530,258
350000,FEC,350.613803,352.235085,2.852141,258
400000,FECunion,121.393802,121.870878,8.237653,286
400000,FEC,442.056114,445.489354,2.262156,286
450000,FECunion,141.021345,142.381203,7.091125,303
450000,FEC,543.911592,547.278746,1.838534,303
500000,FECunion,172.275992,173.731321,5.804639,343
500000,FEC,624.553691,644.437633,1.601143,343
550000,FECunion,177.403578,179.352201,5.636865,359
550000,FEC,709.042815,718.870454,1.410352,359
600000,FECunion,195.943979,203.896160,5.103500,409
600000,FEC,833.303238,841.005379,1.200043,409
650000,FECunion,216.485786,219.493903,4.619241,447
650000,FEC,958.428006,962.703464,1.043375,447
700000,FECunion,238.614302,240.780894,4.190864,463
700000,FEC,1061.790354,1066.414446,0.941806,463
750000,FECunion,262.249170,267.990859,3.813167,485
750000,FEC,1200.034131,1214.072702,0.833310,485
800000,FECunion,288.366272,300.245031,3.467812,500
800000,FEC,1311.052435,1328.115953,0.762746,500
850000,FECunion,323.776203,329.863111,3.088553,477
850000,FEC,1473.550915,1492.429393,0.678633,477
900000,FECunion,348.351762,352.395996,2.870662,468
900000,FEC,1624.081095,1631.884752,0.615733,468
950000,FECunion,374.814400,380.451543,2.667987,467
950000,FEC,1785.043735,1797.702189,0.560210,467
1000000,FECunion,399.870965,403.061059,2.500807,464
1000000,FEC,1817.350723,1877.336244,0.550252,464
1050000,FECunion,435.916183,443.253992,2.294019,454
1050000,FEC,2148.429344,2166.826647,0.465456,454
1100000,FECunion,464.409366,469.159027,2.153273,453
1100000,FEC,2320.465593,2392.382759,0.430948,453
1150000,FECunion,524.019470,537.042503,1.908326,456
1150000,FEC,2500.780003,2510.449771,0.399875,456
1200000,FECunion,521.352317,525.452995,1.918089,449
1200000,FEC,2707.760542,2754.674680,0.369309,449
1250000,FECunion,563.612135,575.314310,1.774270,469
1250000,FEC,2875.894155,3003.252774,0.347718,469
1300000,FECunion,581.226203,590.605943,1.720501,473
1300000,FEC,3074.414912,3130.813892,0.325265,473
1350000,FECunion,608.132283,612.513961,1.644379,458
1350000,FEC,3322.439871,3349.288006,0.300984,458
1400000,FECunion,630.930595,641.431813,1.584960,464
1400000,FEC,3532.892912,3572.409008,0.283054,464
1450000,FECunion,669.549009,686.195357,1.493543,451
1450000,FEC,3734.773510,3872.501714,0.267754,451
1500000,FECunion,715.191761,716.026308,1.398226,454
1500000,FEC,4069.061945,4091.803460,0.245757,454
1550000,FECunion,749.271969,756.640089,1.334629,449
1550000,FEC,4311.486312,4330.524640,0.231939,449
1600000,FECunion,769.273757,776.017776,1.299927,462
1600000,FEC,4508.894679,4541.612803,0.221784,462
1650000,FECunion,810.913177,820.759108,1.233178,471
1650000,FEC,4749.157135,4793.303976,0.210564,471
1700000,FECunion,871.169497,874.226274,1.147882,481
1700000,FEC,5057.018782,5132.339361,0.197745,481
1750000,FECunion,889.650813,893.873530,1.124037,483
1750000,FEC,5460.080078,5502.033219,0.183147,483
1800000,FECunion,924.364797,941.117343,1.081824,490
1800000,FEC,5650.967031,5707.184625,0.176961,490
1850000,FECunion,942.499741,950.481220,1.061008,494
1850000,FEC,5562.309732,5694.958770,0.179781,494
1900000,FECunion,950.271086,966.903604,1.052331,497
1900000,FEC,6054.290700,6169.809349,0.165172,497
1950000,FECunion,1013.469109,1024.248952,0.986710,499
1950000,FEC,6455.558192,6522.178654,0.154905,499
2000000,FECunion,1047.234849,1052.140364,0.954896,494
2000000,FEC,6803.524495,6931.706183,0.146983,494
2050000,FECunion,1074.850176,1079.439495,0.930362,494
2050000,FEC,7182.664877,7198.860137,0.139224,494
2100000,FECunion,1123.691082,1140.301253,0.889924,499
2100000,FEC,7509.591464,7549.844002,0.133163,499
2150000,FECunion,1119.760311,1135.780398,0.893048,498
2150000,FEC,7438.634164,7535.989477,0.134433,498
2200000,FECunion,1147.081343,1150.884137,0.871778,493
2200000,FEC,7840.152530,7988.631753,0.127549,493
2250000,FECunion,1166.148531,1193.357120,0.857524,500
2250000,FEC,8302.522704,8492.976072,0.120445,500
2300000,FECunion,1221.202683,1260.986262,0.818865,507
2300000,FEC,8523.006293,8691.341219,0.117329,507
2350000,FECunion,1234.146665,1238.454149,0.810276,514
2350000,FEC,8866.107437,9081.883410,0.112789,514
2400000,FECunion,1277.193752,1294.143083,0.782967,515
