sample,mode,sequence,frame_id,target_points,points,max_n,min_cluster_size,tolerance,total_ms,build_ms,search_ms,merge_ms,final_ms,search_calls,avg_search_ms,total_neighbors_returned,avg_neighbors_returned,max_neighbors_returned,saturation_count,saturation_rate,neighbor_scan_pass1,neighbor_scan_pass2,relabel_trigger_count,relabel_point_visits,clusters,clustered_points
fusion_seq00_1000000,fusion,00,,1000000,1000000,0,100,0.200000,2750.871135,133.837174,261.589867,2308.876353,35.649222,134607,0.001943,1959266,14.555454,58,0,0.000000,1959266,1959266,10739,10739000000,286,933040
fusion_seq00_1000000,fusion,00,,1000000,1000000,50,100,0.200000,2751.668216,112.561884,271.487910,2327.905809,30.983864,134607,0.002017,1959208,14.555023,50,28,0.000208,1959208,1959208,10739,10739000000,286,933040
fusion_seq00_1500000,fusion,00,,1500000,1500000,0,100,0.200000,5993.525533,216.305373,474.332213,5228.359258,57.263300,197596,0.002401,2940845,14.883120,59,0,0.000000,2940845,2940845,15801,23701500000,379,1406010
fusion_seq00_1500000,fusion,00,,1500000,1500000,50,100,0.200000,6045.828596,198.631356,479.403778,5302.400951,51.494171,197595,0.002426,2940774,14.882836,50,36,0.000182,2940774,2940774,15800,23700000000,379,1406010
fusion_seq00_2000000,fusion,00,,2000000,2000000,0,100,0.200000,10614.037405,272.223953,650.537845,9591.261091,73.777543,266731,0.002439,3901856,14.628431,59,0,0.000000,3901856,3901856,21927,43854000000,508,1867144
fusion_seq00_2000000,fusion,00,,2000000,2000000,50,100,0.200000,10872.872062,230.491228,660.874403,9893.724017,65.942746,266731,0.002478,3901808,14.628251,50,37,0.000139,3901808,3901808,21926,43852000000,508,1867144
fusion_seq00_200000,fusion,00,,200000,200000,0,100,0.200000,198.759535,22.791436,46.993657,118.944579,7.761995,31569,0.001489,365680,11.583515,52,0,0.000000,365680,365680,2644,528800000,112,175996
fusion_seq00_200000,fusion,00,,200000,200000,50,100,0.200000,191.429004,16.884977,46.549504,119.861908,6.317007,31569,0.001475,365678,11.583452,50,1,0.000032,365678,365678,2644,528800000,112,175996
fusion_seq00_3000000,fusion,00,,3000000,3000000,0,100,0.200000,23061.076909,434.456760,1128.200533,21353.125938,108.090976,398923,0.002828,5872842,14.721743,59,0,0.000000,5872842,5872842,33134,99402000000,761,2805534
fusion_seq00_3000000,fusion,00,,3000000,3000000,50,100,0.200000,24435.376371,373.143126,1202.352355,22709.581125,116.510587,398923,0.003014,5872790,14.721613,50,41,0.000103,5872790,5872790,33133,99399000000,761,2805534
fusion_seq00_500000,fusion,00,,500000,500000,0,100,0.200000,898.988713,69.041063,142.727178,663.702003,17.896361,70918,0.002013,946374,13.344623,57,0,0.000000,946374,946374,5823,2911500000,181,458085
fusion_seq00_500000,fusion,00,,500000,500000,50,100,0.200000,846.879628,55.002263,127.102967,645.051573,15.381213,70918,0.001792,946341,13.344158,50,13,0.000183,946341,946341,5823,2911500000,181,458085
fusion_seq00_50000,fusion,00,,50000,50000,0,100,0.200000,21.094051,3.557921,8.875249,6.216453,1.768121,12289,0.000722,86271,7.020181,32,0,0.000000,86271,86271,572,28600000,39,34601
fusion_seq00_50000,fusion,00,,50000,50000,50,100,0.200000,20.420383,3.356572,8.673146,6.289339,1.486764,12289,0.000706,86271,7.020181,32,0,0.000000,86271,86271,572,28600000,39,34601
single_frame_seq00_000000,single-frame,00,000000,0,56795,0,100,0.200000,24.399458,6.782932,10.162494,4.907333,1.733764,13063,0.000778,113858,8.716068,126,0,0.000000,113858,113858,365,20730175,42,43129
single_frame_seq00_000000,single-frame,00,000000,0,56795,50,100,0.200000,21.098245,3.327591,10.243504,4.904208,1.965994,13183,0.000777,113291,8.593719,50,501,0.038003,113291,113291,365,20730175,42,43126
single_frame_seq00_000010,single-frame,00,000010,0,67262,0,100,0.200000,23.425127,4.818556,10.678187,5.078383,2.057384,12327,0.000866,141748,11.498986,305,0,0.000000,141748,141748,361,24281582,38,55185
