sample,mode,sequence,frame_id,target_points,avg_search_ms_0,avg_search_ms_50,delta_avg_search_ms_50_minus_0,relabel_point_visits_0,relabel_point_visits_50,delta_relabel_point_visits_50_minus_0
fusion_seq00_1000000,fusion,00,,1000000,0.001943,0.002017,0.000074,10739000000,10739000000,0
fusion_seq00_1500000,fusion,00,,1500000,0.002401,0.002426,0.000025,23701500000,23700000000,-1500000
fusion_seq00_2000000,fusion,00,,2000000,0.002439,0.002478,0.000039,43854000000,43852000000,-2000000
fusion_seq00_200000,fusion,00,,200000,0.001489,0.001475,-0.000014,528800000,528800000,0
fusion_seq00_3000000,fusion,00,,3000000,0.002828,0.003014,0.000186,99402000000,99399000000,-3000000
fusion_seq00_500000,fusion,00,,500000,0.002013,0.001792,-0.000221,2911500000,2911500000,0
fusion_seq00_50000,fusion,00,,50000,0.000722,0.000706,-0.000016,28600000,28600000,0
single_frame_seq00_000000,single-frame,00,000000,0,0.000778,0.000777,-0.000001,20730175,20730175,0
single_frame_seq00_000010,single-frame,00,000010,0,0.000866,0.000899,0.000033,24281582,24617892,336310
single_frame_seq00_000020,single-frame,00,000020,0,0.000873,0.000972,0.000099,26000601,26000601,0
single_frame_seq00_000030,single-frame,00,000030,0,0.000962,0.001021,0.000059,22938754,23228202,289448
single_frame_seq00_000040,single-frame,00,000040,0,0.001022,0.001134,0.000112,22581088,22726304,145216
single_frame_seq00_000050,single-frame,00,000050,0,0.000959,0.001096,0.000137,20096775,20167290,70515
single_frame_seq00_000060,single-frame,00,000060,0,0.001024,0.001080,0.000056,27923840,27923840,0
single_frame_seq00_000070,single-frame,00,000070,0,0.001093,0.001224,0.000131,17472420,17543736,71316
single_frame_seq00_000080,single-frame,00,000080,0,0.001125,0.001256,0.000131,23358504,23358504,0
single_frame_seq00_000090,single-frame,00,000090,0,0.001053,0.001151,0.000098,27266632,27340928,74296
single_frame_seq08_000000,single-frame,08,000000,0,0.000641,0.000624,-0.000017,23176593,23217906,41313
single_frame_seq08_000010,single-frame,08,000010,0,0.000617,0.000664,0.000047,20358048,20316416,-41632
single_frame_seq08_000020,single-frame,08,000020,0,0.000576,0.000601,0.000025,18633909,18591846,-42063
single_frame_seq08_000030,single-frame,08,000030,0,0.000573,0.000549,-0.000024,17244738,17244738,0
single_frame_seq08_000040,single-frame,08,000040,0,0.000618,0.000557,-0.000061,16057718,16145226,87508
single_frame_seq08_000050,single-frame,08,000050,0,0.000615,0.000597,-0.000018,18129762,18175200,45438
single_frame_seq08_000060,single-frame,08,000060,0,0.000583,0.000555,-0.000028,14290272,14330640,40368
single_frame_seq08_000070,single-frame,08,000070,0,0.000586,0.000579,-0.000007,11999920,12039264,39344
single_frame_seq08_000080,single-frame,08,000080,0,0.000651,0.000705,0.000054,13131462,13226274,94812
single_frame_seq08_000090,single-frame,08,000090,0,0.000711,0.000695,-0.000016,9054630,9054630,0
single_frame_seq09_000000,single-frame,09,000000,0,0.000726,0.000734,0.000008,36249472,36193184,-56288
single_frame_seq09_000010,single-frame,09,000010,0,0.000790,0.000831,0.000041,40509672,40394424,-115248
single_frame_seq09_000020,single-frame,09,000020,0,0.000847,0.000830,-0.000017,39745290,39685880,-59410
single_frame_seq09_000030,single-frame,09,000030,0,0.000899,0.000920,0.000021,46088386,46414791,326405
single_frame_seq09_000040,single-frame,09,000040,0,0.000918,0.000936,0.000018,75146586,75069749,-76837
single_frame_seq09_000050,single-frame,09,000050,0,0.000861,0.000842,-0.000019,92352986,92768616,415630
single_frame_seq09_000060,single-frame,09,000060,0,0.000895,0.000845,-0.000050,97275170,97024676,-250494
single_frame_seq09_000070,single-frame,09,000070,0,0.000878,0.000847,-0.000031,93484950,93484950,0
single_frame_seq09_000080,single-frame,09,000080,0,0.000839,0.000841,0.000002,84686544,84838312,151768
single_frame_seq09_000090,single-frame,09,000090,0,0.000755,0.000766,0.000011,79808437,79605706,-202731
