sample,mode,sequence,frame_id,target_points,total_ms_0,total_ms_50,delta_total_ms_50_minus_0,avg_search_ms_0,avg_search_ms_50,delta_avg_search_ms_50_minus_0,relabel_trigger_count_0,relabel_trigger_count_50,delta_relabel_trigger_count_50_minus_0
fusion_seq00_1000000,fusion,00,,1000000,2750.871135,2751.668216,0.797081,0.001943,0.002017,0.000074,10739,10739,0
fusion_seq00_1500000,fusion,00,,1500000,5993.525533,6045.828596,52.303063,0.002401,0.002426,0.000025,15801,15800,-1
fusion_seq00_2000000,fusion,00,,2000000,10614.037405,10872.872062,258.834657,0.002439,0.002478,0.000039,21927,21926,-1
fusion_seq00_200000,fusion,00,,200000,198.759535,191.429004,-7.330531,0.001489,0.001475,-0.000014,2644,2644,0
fusion_seq00_3000000,fusion,00,,3000000,23061.076909,24435.376371,1374.299462,0.002828,0.003014,0.000186,33134,33133,-1
fusion_seq00_500000,fusion,00,,500000,898.988713,846.879628,-52.109085,0.002013,0.001792,-0.000221,5823,5823,0
fusion_seq00_50000,fusion,00,,50000,21.094051,20.420383,-0.673668,0.000722,0.000706,-0.000016,572,572,0
single_frame_seq00_000000,single-frame,00,000000,0,24.399458,21.098245,-3.301213,0.000778,0.000777,-0.000001,365,365,0
single_frame_seq00_000010,single-frame,00,000010,0,23.425127,22.849082,-0.576045,0.000866,0.000899,0.000033,361,366,5
single_frame_seq00_000020,single-frame,00,000020,0,25.189134,26.630072,1.440938,0.000873,0.000972,0.000099,363,363,0
single_frame_seq00_000030,single-frame,00,000030,0,23.581887,23.614008,0.032121,0.000962,0.001021,0.000059,317,321,4
single_frame_seq00_000040,single-frame,00,000040,0,22.018785,23.687029,1.668244,0.001022,0.001134,0.000112,311,313,2
single_frame_seq00_000050,single-frame,00,000050,0,21.172347,22.947876,1.775529,0.000959,0.001096,0.000137,285,286,1
single_frame_seq00_000060,single-frame,00,000060,0,26.772133,26.808564,0.036431,0.001024,0.001080,0.000056,368,368,0
single_frame_seq00_000070,single-frame,00,000070,0,21.296163,23.212429,1.916266,0.001093,0.001224,0.000131,245,246,1
single_frame_seq00_000080,single-frame,00,000080,0,24.200575,25.353693,1.153118,0.001125,0.001256,0.000131,312,312,0
single_frame_seq00_000090,single-frame,00,000090,0,26.493727,27.846644,1.352917,0.001053,0.001151,0.000098,367,368,1
single_frame_seq08_000000,single-frame,08,000000,0,20.849746,20.576302,-0.273444,0.000641,0.000624,-0.000017,561,562,1
single_frame_seq08_000010,single-frame,08,000010,0,20.525530,21.438182,0.912652,0.000617,0.000664,0.000047,489,488,-1
single_frame_seq08_000020,single-frame,08,000020,0,19.728258,20.169504,0.441246,0.000576,0.000601,0.000025,443,442,-1
single_frame_seq08_000030,single-frame,08,000030,0,19.672161,18.776581,-0.895580,0.000573,0.000549,-0.000024,411,411,0
single_frame_seq08_000040,single-frame,08,000040,0,20.579552,18.919643,-1.659909,0.000618,0.000557,-0.000061,367,369,2
single_frame_seq08_000050,single-frame,08,000050,0,21.070074,20.021594,-1.048480,0.000615,0.000597,-0.000018,399,400,1
single_frame_seq08_000060,single-frame,08,000060,0,18.834732,17.825416,-1.009316,0.000583,0.000555,-0.000028,354,355,1
single_frame_seq08_000070,single-frame,08,000070,0,17.134476,16.780474,-0.354002,0.000586,0.000579,-0.000007,305,306,1
single_frame_seq08_000080,single-frame,08,000080,0,18.548810,19.391459,0.842649,0.000651,0.000705,0.000054,277,279,2
single_frame_seq08_000090,single-frame,08,000090,0,18.626235,18.185630,-0.440605,0.000711,0.000695,-0.000016,195,195,0
single_frame_seq09_000000,single-frame,09,000000,0,25.519377,25.187391,-0.331986,0.000726,0.000734,0.000008,644,643,-1
single_frame_seq09_000010,single-frame,09,000010,0,27.369926,27.982258,0.612332,0.000790,0.000831,0.000041,703,701,-2
single_frame_seq09_000020,single-frame,09,000020,0,27.859688,27.464511,-0.395177,0.000847,0.000830,-0.000017,669,668,-1
single_frame_seq09_000030,single-frame,09,000030,0,32.242789,29.988553,-2.254236,0.000899,0.000920,0.000021,706,711,5
single_frame_seq09_000040,single-frame,09,000040,0,41.771476,40.125479,-1.645997,0.000918,0.000936,0.000018,978,977,-1
single_frame_seq09_000050,single-frame,09,000050,0,46.256793,45.701695,-0.555098,0.000861,0.000842,-0.000019,1111,1116,5
single_frame_seq09_000060,single-frame,09,000060,0,50.361570,45.882496,-4.479074,0.000895,0.000845,-0.000050,1165,1162,-3
single_frame_seq09_000070,single-frame,09,000070,0,46.079675,44.675035,-1.404640,0.000878,0.000847,-0.000031,1146,1146,0
single_frame_seq09_000080,single-frame,09,000080,0,41.789099,42.324966,0.535867,0.000839,0.000841,0.000002,1116,1118,2
single_frame_seq09_000090,single-frame,09,000090,0,38.788928,38.835105,0.046177,0.000755,0.000766,0.000011,1181,1178,-3
