样本,模式,序列,帧数,目标点数,max_n=0总耗时ms,max_n=50总耗时ms,总耗时差值(50减0)ms,max_n=0平均树搜索时间ms,max_n=50平均树搜索时间ms,树搜索时间差值(50减0)ms,max_n=0平均树搜索函数调用次数,max_n=50平均树搜索函数调用次数,树搜索函数调用次数差值(50减0)
single_frame_seq00_avg200,single-frame,00,200,0,18.197020,19.723655,1.526635,0.001042,0.001120,0.000078,11187.785000,11763.640000,575.855000
single_frame_seq01_avg200,single-frame,01,200,0,19.024016,18.900859,-0.123158,0.000671,0.000658,-0.000013,20011.750000,20178.365000,166.615000
single_frame_seq02_avg200,single-frame,02,200,0,10.791615,10.584008,-0.207607,0.000630,0.000608,-0.000021,12082.345000,12141.105000,58.760000
single_frame_seq03_avg200,single-frame,03,200,0,17.760974,18.356575,0.595601,0.000821,0.000841,0.000021,14473.815000,14783.090000,309.275000
single_frame_seq04_avg200,single-frame,04,200,0,19.180320,19.635037,0.454717,0.000833,0.000846,0.000012,15500.770000,15724.115000,223.345000
single_frame_seq05_avg200,single-frame,05,200,0,17.909437,19.483083,1.573646,0.000959,0.001037,0.000078,12141.365000,12696.765000,555.400000
single_frame_seq06_avg200,single-frame,06,200,0,13.731009,13.831147,0.100138,0.000667,0.000662,-0.000005,14174.220000,14347.580000,173.360000
single_frame_seq07_avg200,single-frame,07,200,0,19.647227,22.513396,2.866169,0.001192,0.001331,0.000140,10367.295000,11382.975000,1015.680000
single_frame_seq08_avg200,single-frame,08,200,0,14.940627,14.966529,0.025902,0.000650,0.000642,-0.000008,15985.340000,16156.680000,171.340000
single_frame_seq09_avg200,single-frame,09,200,0,21.862425,21.766308,-0.096117,0.000868,0.000854,-0.000014,16892.725000,16978.540000,85.815000
single_frame_seq10_avg200,single-frame,10,200,0,18.628946,21.494004,2.865058,0.000976,0.001114,0.000138,12357.870000,13369.860000,1011.990000
fusion_seq00_50000,fusion,00,0,50000,14.465354,14.360821,-0.104533,0.000771,0.000770,-0.000001,12289.000000,12289.000000,0.000000
fusion_seq00_200000,fusion,00,0,200000,70.133454,64.130422,-6.003032,0.001235,0.001231,-0.000003,31569.000000,31569.000000,0.000000
fusion_seq00_500000,fusion,00,0,500000,182.725789,157.681770,-25.044019,0.001370,0.001242,-0.000128,70918.000000,70918.000000,0.000000
fusion_seq00_1000000,fusion,00,0,1000000,373.956813,342.779692,-31.177121,0.001446,0.001419,-0.000028,134607.000000,134607.000000,0.000000
fusion_seq00_1500000,fusion,00,0,1500000,565.856057,523.110585,-42.745472,0.001566,0.001465,-0.000100,197596.000000,197595.000000,-1.000000
fusion_seq00_2000000,fusion,00,0,2000000,751.857281,722.840285,-29.016996,0.001541,0.001512,-0.000029,266731.000000,266731.000000,0.000000
fusion_seq00_3000000,fusion,00,0,3000000,1132.242279,1089.456983,-42.785296,0.001485,0.001498,0.000014,398923.000000,398923.000000,0.000000
