sample,mode,sequence,frame_id,target_points,points,total_ms_0,total_ms_50,delta_ms_50_minus_0,delta_pct_50_minus_0,search_calls_0,search_calls_50,avg_neighbors_0,avg_neighbors_50,saturation_rate_50,relabel_triggers_0,relabel_triggers_50,relabel_point_visits_0,relabel_point_visits_50,clusters_0,clusters_50
fusion_seq00_1000000,fusion,00,,1000000,1000000,2750.871135,2751.668216,0.797081,0.028976,134607,134607,14.555454,14.555023,0.000208,10739,10739,10739000000,10739000000,286,286
fusion_seq00_1500000,fusion,00,,1500000,1500000,5993.525533,6045.828596,52.303063,0.872659,197596,197595,14.883120,14.882836,0.000182,15801,15800,23701500000,23700000000,379,379
fusion_seq00_2000000,fusion,00,,2000000,2000000,10614.037405,10872.872062,258.834657,2.438607,266731,266731,14.628431,14.628251,0.000139,21927,21926,43854000000,43852000000,508,508
fusion_seq00_200000,fusion,00,,200000,200000,198.759535,191.429004,-7.330531,-3.688141,31569,31569,11.583515,11.583452,0.000032,2644,2644,528800000,528800000,112,112
fusion_seq00_3000000,fusion,00,,3000000,3000000,23061.076909,24435.376371,1374.299462,5.959390,398923,398923,14.721743,14.721613,0.000103,33134,33133,99402000000,99399000000,761,761
fusion_seq00_500000,fusion,00,,500000,500000,898.988713,846.879628,-52.109085,-5.796411,70918,70918,13.344623,13.344158,0.000183,5823,5823,2911500000,2911500000,181,181
fusion_seq00_50000,fusion,00,,50000,50000,21.094051,20.420383,-0.673668,-3.193640,12289,12289,7.020181,7.020181,0.000000,572,572,28600000,28600000,39,39
single_frame_seq00_000000,single-frame,00,000000,0,56795,24.399458,21.098245,-3.301213,-13.529862,13063,13183,8.716068,8.593719,0.038003,365,365,20730175,20730175,42,42
single_frame_seq00_000010,single-frame,00,000010,0,67262,23.425127,22.849082,-0.576045,-2.459090,12327,12613,11.498986,11.131452,0.069531,361,366,24281582,24617892,38,37
single_frame_seq00_000020,single-frame,00,000020,0,71627,25.189134,26.630072,1.440938,5.720475,13386,13736,11.359032,10.939720,0.062464,363,363,26000601,26000601,42,42
single_frame_seq00_000030,single-frame,00,000030,0,72362,23.581887,23.614008,0.032121,0.136210,11359,11974,14.118408,13.170870,0.104393,317,321,22938754,23228202,34,34
single_frame_seq00_000040,single-frame,00,000040,0,72608,22.018785,23.687029,1.668244,7.576458,10377,11101,15.850535,14.402036,0.138816,311,313,22581088,22726304,39,39
single_frame_seq00_000050,single-frame,00,000050,0,70515,21.172347,22.947876,1.775529,8.386075,10547,11288,15.004267,13.524185,0.130227,285,286,20096775,20167290,35,35
single_frame_seq00_000060,single-frame,00,000060,0,75880,26.772133,26.808564,0.036431,0.136078,11849,12369,14.001266,13.174792,0.098391,368,368,27923840,27923840,38,38
single_frame_seq00_000070,single-frame,00,000070,0,71316,21.296163,23.212429,1.916266,8.998175,9639,10233,16.667808,15.375550,0.132024,245,246,17472420,17543736,33,34
single_frame_seq00_000080,single-frame,00,000080,0,74867,24.200575,25.353693,1.153118,4.764837,9914,10638,17.054670,15.586482,0.151532,312,312,23358504,23358504,36,36
single_frame_seq00_000090,single-frame,00,000090,0,74296,26.493727,27.846644,1.352917,5.106556,11761,12487,13.886829,12.791864,0.121326,367,368,27266632,27340928,34,34
single_frame_seq08_000000,single-frame,08,000000,0,41313,20.849746,20.576302,-0.273444,-1.311498,16030,16084,4.177168,4.160905,0.008145,561,562,23176593,23217906,39,39
single_frame_seq08_000010,single-frame,08,000010,0,41632,20.525530,21.438182,0.912652,4.446424,16787,16864,3.965271,3.940999,0.008124,489,488,20358048,20316416,36,36
single_frame_seq08_000020,single-frame,08,000020,0,42063,19.728258,20.169504,0.441246,2.236619,17852,17887,3.646594,3.651814,0.004696,443,442,18633909,18591846,40,40
single_frame_seq08_000030,single-frame,08,000030,0,41958,19.672161,18.776581,-0.895580,-4.552525,18090,18108,3.562687,3.564999,0.003369,411,411,17244738,17244738,42,42
single_frame_seq08_000040,single-frame,08,000040,0,43754,20.579552,18.919643,-1.659909,-8.065817,17900,17939,3.872346,3.858298,0.007080,367,369,16057718,16145226,39,39
single_frame_seq08_000050,single-frame,08,000050,0,45438,21.070074,20.021594,-1.048480,-4.976157,17648,17789,4.266262,4.217550,0.015571,399,400,18129762,18175200,37,37
single_frame_seq08_000060,single-frame,08,000060,0,40368,18.834732,17.825416,-1.009316,-5.358802,17531,17550,3.547088,3.529174,0.003362,354,355,14290272,14330640,42,42
single_frame_seq08_000070,single-frame,08,000070,0,39344,17.134476,16.780474,-0.354002,-2.066022,16175,16243,3.895332,3.874284,0.011143,305,306,11999920,12039264,40,40
single_frame_seq08_000080,single-frame,08,000080,0,47406,18.548810,19.391459,0.842649,4.542874,15164,15644,5.781588,5.499361,0.051457,277,279,13131462,13226274,31,31
single_frame_seq08_000090,single-frame,08,000090,0,46434,18.626235,18.185630,-0.440605,-2.365508,15094,15623,5.775606,5.413045,0.051015,195,195,9054630,9054630,27,27
single_frame_seq09_000000,single-frame,09,000000,0,56288,25.519377,25.187391,-0.331986,-1.300917,15744,15800,6.726308,6.703544,0.015506,644,643,36249472,36193184,29,29
single_frame_seq09_000010,single-frame,09,000010,0,57624,27.369926,27.982258,0.612332,2.237244,15284,15348,7.150811,7.109265,0.018700,703,701,40509672,40394424,31,31
single_frame_seq09_000020,single-frame,09,000020,0,59410,27.859688,27.464511,-0.395177,-1.418455,14578,14662,7.954726,7.880303,0.025235,669,668,39745290,39685880,26,26
single_frame_seq09_000030,single-frame,09,000030,0,65281,32.242789,29.988553,-2.254236,-6.991442,14155,14308,9.214271,9.066606,0.038720,706,711,46088386,46414791,20,19
single_frame_seq09_000040,single-frame,09,000040,0,76837,41.771476,40.125479,-1.645997,-3.940481,16896,17073,8.862216,8.738125,0.036549,978,977,75146586,75069749,39,39
single_frame_seq09_000050,single-frame,09,000050,0,83126,46.256793,45.701695,-0.555098,-1.200036,19395,19446,7.954215,7.926669,0.013113,1111,1116,92352986,92768616,37,37
single_frame_seq09_000060,single-frame,09,000060,0,83498,50.361570,45.882496,-4.479074,-8.893833,19533,19609,8.053653,8.008211,0.018410,1165,1162,97275170,97024676,31,31
single_frame_seq09_000070,single-frame,09,000070,0,81575,46.079675,44.675035,-1.404640,-3.048285,18941,18999,8.193707,8.153376,0.017422,1146,1146,93484950,93484950,47,47
single_frame_seq09_000080,single-frame,09,000080,0,75884,41.789099,42.324966,0.535867,1.282313,18253,18320,7.743385,7.733242,0.017031,1116,1118,84686544,84838312,29,29
single_frame_seq09_000090,single-frame,09,000090,0,67577,38.788928,38.835105,0.046177,0.119047,18559,18591,6.454443,6.469851,0.006831,1181,1178,79808437,79605706,39,39
