frame_id,raw_points,static_points,accepted_points,ghost_rejected,density_rejected,fused_total
000000,124668,50817,31269,0,19548,31269
000001,124605,51925,16907,0,35018,48176
000002,124478,53086,12387,0,40699,60563
000003,124167,54139,10466,0,43673,71029
000004,123969,54730,9303,0,45427,80332
000005,123924,55628,7940,0,47688,88272
000006,123373,56829,8107,0,48722,96379
000007,122765,58377,8391,0,49986,104770
000008,122123,59078,7293,0,51785,112063
000009,121357,59719,6938,0,52781,119001
000010,121018,61890,7180,0,54710,126181
000011,120945,64132,7072,0,57060,133253
000012,120503,65242,6235,0,59007,139488
000013,120295,66366,6142,0,60224,145630
000014,120406,67217,5833,0,61384,151463
000015,121023,67138,6257,0,60881,157720
000016,121842,66928,6001,0,60927,163721
000017,123107,66937,6162,0,60775,169883
000018,123940,66181,6271,0,59910,176154
000019,124301,65611,5388,0,60223,181542
000020,124553,65388,5518,0,59870,187060
000021,124656,65554,5966,0,59588,193026
000022,124644,66181,6342,0,59839,199368
000023,124526,66692,6326,0,60366,205694
000024,124520,66772,6282,0,60490,211976
000025,124600,66073,5933,0,60140,217909
000026,124550,65459,6423,0,59036,224332
000027,124242,65649,6188,0,59461,230520
000028,124163,66218,5602,0,60616,236122
000029,124018,67190,5355,0,61835,241477
000030,124134,68563,4992,0,63571,246469
000031,124140,69401,4551,0,64850,251020
000032,123932,69480,4230,0,65250,255250
000033,123826,69471,3975,0,65496,259225
000034,123502,69110,4416,0,64694,263641
000035,123006,68776,4843,0,63933,268484
000036,122749,69067,5035,0,64032,273519
000037,122379,69804,4915,0,64889,278434
000038,121738,70174,5074,0,65100,283508
000039,121497,69418,4183,0,65235,287691
000040,121148,69328,4367,0,64961,292058
000041,120359,69069,4134,0,64935,296192
000042,119454,70152,4319,0,65833,300511
000043,118399,70495,4289,0,66206,304800
000044,116881,69804,4837,0,64967,309637
000045,114496,68672,5022,0,63650,314659
000046,113139,67683,4975,0,62708,319634
000047,113810,66770,4751,0,62019,324385
000048,115974,67210,4972,0,62238,329357
000049,117156,67296,4538,0,62758,333895
000050,118636,66914,5020,0,61894,338915
000051,119830,66662,5174,0,61488,344089
000052,120796,67204,5039,0,62165,349128
000053,121891,66739,5484,0,61255,354612
000054,122639,66057,4948,0,61109,359560
000055,123343,65494,5094,0,60400,364654
000056,123232,64604,6262,0,58342,370916
000057,123130,65000,5790,0,59210,376706
000058,122929,65211,6415,0,58796,383121
000059,122703,65401,6528,0,58873,389649
000060,122569,65980,6691,0,59289,396340
000061,122161,66381,7355,0,59026,403695
000062,121732,66346,6735,0,59611,410430
000063,120696,66489,6429,0,60060,416859
000064,120938,68360,5855,0,62505,422714
000065,121051,69731,5865,0,63866,428579
000066,121199,70292,5221,0,65071,433800
000067,121116,70547,4913,0,65634,438713
000068,121081,69628,4429,0,65199,443142
000069,121097,69266,3870,0,65396,447012
000070,120793,68489,3418,0,65071,450430
000071,120492,68094,3446,0,64648,453876
000072,120282,68212,3619,0,64593,457495
000073,120036,68325,3408,0,64917,460903
000074,119747,68093,3758,0,64335,464661
000075,119053,68745,4362,0,64383,469023
000076,118742,70199,4390,0,65809,473413
000077,118174,71089,4251,0,66838,477664
000078,117478,71692,4260,0,67432,481924
000079,117445,71609,3876,0,67733,485800
000080,117412,72052,4219,0,67833,490019
000081,117740,72218,4448,0,67770,494467
000082,117977,72198,4117,0,68081,498584
000083,118573,72688,4396,0,68292,502980
000084,119351,73470,4614,0,68856,507594
000085,119125,73092,4730,0,68362,512324
000086,119352,73189,4941,0,68248,517265
000087,119815,73314,4787,0,68527,522052
