target_points,frames_used,car,tree,building,bbox_x,bbox_y,bbox_z,ply_path
50000,3,3568,31046,15386,68.269,5.795,100.897,reports/semantic_kitti_seq00_static/seq00_static_50k.ply
100000,8,7739,63214,29047,68.269,5.987,103.673,reports/semantic_kitti_seq00_static/seq00_static_100k.ply
150000,15,12589,92797,44614,87.181,6.392,110.297,reports/semantic_kitti_seq00_static/seq00_static_150k.ply
200000,24,17167,117201,65632,91.263,6.710,117.872,reports/semantic_kitti_seq00_static/seq00_static_200k.ply
250000,32,22335,139605,88060,93.897,6.948,125.930,reports/semantic_kitti_seq00_static/seq00_static_250k.ply
300000,43,29996,155802,114202,93.897,6.948,133.388,reports/semantic_kitti_seq00_static/seq00_static_300k.ply
350000,54,38150,167738,144112,95.704,7.053,146.328,reports/semantic_kitti_seq00_static/seq00_static_350k.ply
400000,62,43609,182330,174061,96.071,7.160,155.180,reports/semantic_kitti_seq00_static/seq00_static_400k.ply
450000,71,50880,201057,198063,96.071,7.329,163.493,reports/semantic_kitti_seq00_static/seq00_static_450k.ply
500000,84,61134,218676,220190,96.071,7.780,172.488,reports/semantic_kitti_seq00_static/seq00_static_500k.ply
550000,94,69731,243089,237180,97.134,7.969,178.912,reports/semantic_kitti_seq00_static/seq00_static_550k.ply
600000,104,77699,267009,255292,98.740,8.239,183.251,reports/semantic_kitti_seq00_static/seq00_static_600k.ply
650000,115,84755,291279,273966,102.236,8.239,186.316,reports/semantic_kitti_seq00_static/seq00_static_650k.ply
700000,124,91506,311907,296587,105.017,8.595,186.427,reports/semantic_kitti_seq00_static/seq00_static_700k.ply
750000,133,98053,333407,318540,109.798,8.874,186.427,reports/semantic_kitti_seq00_static/seq00_static_750k.ply
800000,143,103218,357918,338864,111.767,8.874,186.427,reports/semantic_kitti_seq00_static/seq00_static_800k.ply
850000,153,106292,384461,359247,123.768,8.990,186.427,reports/semantic_kitti_seq00_static/seq00_static_850k.ply
900000,165,109859,411007,379134,131.836,9.015,186.496,reports/semantic_kitti_seq00_static/seq00_static_900k.ply
950000,175,113325,443948,392727,141.282,9.015,189.314,reports/semantic_kitti_seq00_static/seq00_static_950k.ply
1000000,184,118153,473389,408458,147.394,9.230,189.401,reports/semantic_kitti_seq00_static/seq00_static_1M.ply
1050000,195,123131,503659,423210,150.549,9.959,189.401,reports/semantic_kitti_seq00_static/seq00_static_1050k.ply
1100000,203,127760,531614,440626,150.549,9.960,189.401,reports/semantic_kitti_seq00_static/seq00_static_1100k.ply
1150000,213,132749,554878,462373,156.970,10.369,192.392,reports/semantic_kitti_seq00_static/seq00_static_1150k.ply
1200000,227,137957,578052,483991,158.678,10.369,199.219,reports/semantic_kitti_seq00_static/seq00_static_1200k.ply
1250000,241,142603,600144,507253,158.678,10.480,204.038,reports/semantic_kitti_seq00_static/seq00_static_1250k.ply
1300000,252,146749,621481,531770,164.942,10.754,215.448,reports/semantic_kitti_seq00_static/seq00_static_1300k.ply
1350000,262,150642,642171,557187,167.989,10.754,222.958,reports/semantic_kitti_seq00_static/seq00_static_1350k.ply
1400000,270,153729,662488,583783,167.989,10.945,231.242,reports/semantic_kitti_seq00_static/seq00_static_1400k.ply
1450000,283,159300,681229,609471,172.028,12.171,240.181,reports/semantic_kitti_seq00_static/seq00_static_1450k.ply
1500000,292,163418,699908,636674,172.028,12.171,249.602,reports/semantic_kitti_seq00_static/seq00_static_1500k.ply
1550000,300,168090,727419,654491,174.019,12.171,256.100,reports/semantic_kitti_seq00_static/seq00_static_1550k.ply
1600000,308,172096,753718,674186,174.256,12.171,262.431,reports/semantic_kitti_seq00_static/seq00_static_1600k.ply
1650000,320,179611,773054,697335,174.256,12.171,271.302,reports/semantic_kitti_seq00_static/seq00_static_1650k.ply
1700000,328,184993,798672,716335,174.256,12.171,277.302,reports/semantic_kitti_seq00_static/seq00_static_1700k.ply
1750000,341,191012,823171,735817,174.256,12.171,290.142,reports/semantic_kitti_seq00_static/seq00_static_1750k.ply
1800000,351,194982,851802,753216,174.256,12.171,298.347,reports/semantic_kitti_seq00_static/seq00_static_1800k.ply
1850000,361,200804,883836,765360,174.256,12.171,304.685,reports/semantic_kitti_seq00_static/seq00_static_1850k.ply
1900000,370,204264,921274,774462,174.256,12.488,311.091,reports/semantic_kitti_seq00_static/seq00_static_1900k.ply
1950000,379,207442,958454,784104,174.256,13.316,317.152,reports/semantic_kitti_seq00_static/seq00_static_1950k.ply
2000000,390,211501,989349,799150,174.256,13.316,323.650,reports/semantic_kitti_seq00_static/seq00_static_2M.ply
2050000,402,215111,1016848,818041,174.256,13.316,331.766,reports/semantic_kitti_seq00_static/seq00_static_2050k.ply
2100000,412,219648,1040515,839837,174.256,13.316,337.813,reports/semantic_kitti_seq00_static/seq00_static_2100k.ply
2150000,421,222481,1068215,859304,174.256,13.316,341.334,reports/semantic_kitti_seq00_static/seq00_static_2150k.ply
2200000,428,224544,1102759,872697,174.256,13.792,343.214,reports/semantic_kitti_seq00_static/seq00_static_2200k.ply
2250000,439,227830,1135588,886582,174.256,13.792,343.976,reports/semantic_kitti_seq00_static/seq00_static_2250k.ply
2300000,451,230964,1164769,904267,174.256,13.792,343.976,reports/semantic_kitti_seq00_static/seq00_static_2300k.ply
2350000,460,234115,1188894,926991,174.256,13.792,343.976,reports/semantic_kitti_seq00_static/seq00_static_2350k.ply
2400000,468,236578,1214120,949302,174.256,13.792,343.976,reports/semantic_kitti_seq00_static/seq00_static_2400k.ply
2450000,482,241707,1235882,972411,174.256,13.792,343.976,reports/semantic_kitti_seq00_static/seq00_static_2450k.ply
2500000,492,247541,1256663,995796,174.256,13.792,343.976,reports/semantic_kitti_seq00_static/seq00_static_2500k.ply
2550000,500,251077,1277465,1021458,174.256,13.792,343.976,reports/semantic_kitti_seq00_static/seq00_static_2550k.ply
2600000,511,255000,1301813,1043187,174.256,13.792,343.976,reports/semantic_kitti_seq00_static/seq00_static_2600k.ply
2650000,525,264149,1323815,1062036,174.428,13.792,343.976,reports/semantic_kitti_seq00_static/seq00_static_2650k.ply
2700000,540,277739,1339948,1082313,177.600,13.792,343.976,reports/semantic_kitti_seq00_static/seq00_static_2700k.ply
2750000,567,288370,1358212,1103418,178.620,13.792,343.976,reports/semantic_kitti_seq00_static/seq00_static_2750k.ply
2800000,582,295956,1371973,1132071,182.201,13.792,343.976,reports/semantic_kitti_seq00_static/seq00_static_2800k.ply
2850000,592,305293,1384234,1160473,183.528,13.792,344.179,reports/semantic_kitti_seq00_static/seq00_static_2850k.ply
2900000,604,315802,1396122,1188076,184.550,13.792,350.919,reports/semantic_kitti_seq00_static/seq00_static_2900k.ply
2950000,619,327179,1408957,1213864,184.550,13.792,363.081,reports/semantic_kitti_seq00_static/seq00_static_2950k.ply
3000000,627,333711,1429499,1236790,186.236,13.792,370.594,reports/semantic_kitti_seq00_static/seq00_static_3M.ply
3050000,636,342122,1450026,1257852,186.928,13.792,378.450,reports/semantic_kitti_seq00_static/seq00_static_3050k.ply
3100000,648,358364,1457499,1284137,186.928,13.792,392.512,reports/semantic_kitti_seq00_static/seq00_static_3100k.ply
3150000,661,371645,1463949,1314406,186.928,13.792,405.662,reports/semantic_kitti_seq00_static/seq00_static_3150k.ply
3200000,676,387175,1472044,1340781,186.928,13.792,417.522,reports/semantic_kitti_seq00_static/seq00_static_3200k.ply
3250000,689,402514,1482132,1365354,186.928,13.792,434.264,reports/semantic_kitti_seq00_static/seq00_static_3250k.ply
3300000,699,412406,1498094,1389500,191.481,13.792,444.293,reports/semantic_kitti_seq00_static/seq00_static_3300k.ply
3350000,709,418782,1512860,1418358,191.606,13.792,453.134,reports/semantic_kitti_seq00_static/seq00_static_3350k.ply
3400000,722,426698,1528887,1444415,191.606,13.792,462.739,reports/semantic_kitti_seq00_static/seq00_static_3400k.ply
3450000,736,435862,1548358,1465780,193.768,13.792,468.139,reports/semantic_kitti_seq00_static/seq00_static_3450k.ply
3500000,746,441208,1564538,1494254,196.734,13.792,470.908,reports/semantic_kitti_seq00_static/seq00_static_3500k.ply
3550000,758,446921,1580561,1522518,203.795,13.792,471.961,reports/semantic_kitti_seq00_static/seq00_static_3550k.ply
3600000,775,452849,1595967,1551184,214.723,13.792,471.961,reports/semantic_kitti_seq00_static/seq00_static_3600k.ply
