sequence,target_points,loaded_points,frames_used,car,tree,building,bbox_x,bbox_y,bbox_z,algorithm,best_ms,mean_ms,fps_best,clusters,ply_path
00,50000,50000,3,3568,31046,15386,68.269000,5.795000,100.897000,EC,55.163685,55.163685,18.127868,43,reports/semantic_kitti_seq00_static/seq00_static_50k.ply
00,100000,100000,8,7739,63214,29047,68.269000,5.987000,103.673000,EC,129.151277,129.151277,7.742858,69,reports/semantic_kitti_seq00_static/seq00_static_100k.ply
00,150000,150000,15,12589,92797,44614,87.181000,6.392000,110.297000,EC,208.244180,208.244180,4.802055,83,reports/semantic_kitti_seq00_static/seq00_static_150k.ply
00,200000,200000,24,17167,117201,65632,91.263000,6.710000,117.872000,EC,288.241048,288.241048,3.469318,102,reports/semantic_kitti_seq00_static/seq00_static_200k.ply
00,250000,250000,32,22335,139605,88060,93.897000,6.948000,125.930000,EC,369.502381,369.502381,2.706343,114,reports/semantic_kitti_seq00_static/seq00_static_250k.ply
00,300000,300000,43,29996,155802,114202,93.897000,6.948000,133.388000,EC,466.710826,466.710826,2.142654,125,reports/semantic_kitti_seq00_static/seq00_static_300k.ply
00,350000,350000,54,38150,167738,144112,95.704000,7.053000,146.328000,EC,546.044998,546.044998,1.831351,134,reports/semantic_kitti_seq00_static/seq00_static_350k.ply
00,400000,400000,62,43609,182330,174061,96.071000,7.160000,155.180000,EC,625.269891,625.269891,1.599309,149,reports/semantic_kitti_seq00_static/seq00_static_400k.ply
00,450000,450000,71,50880,201057,198063,96.071000,7.329000,163.493000,EC,706.169728,706.169728,1.416090,153,reports/semantic_kitti_seq00_static/seq00_static_450k.ply
00,500000,500000,84,61134,218676,220190,96.071000,7.780000,172.488000,EC,808.718757,808.718757,1.236524,156,reports/semantic_kitti_seq00_static/seq00_static_500k.ply
00,550000,550000,94,69731,243089,237180,97.134000,7.969000,178.912000,EC,890.703277,890.703277,1.122708,174,reports/semantic_kitti_seq00_static/seq00_static_550k.ply
00,600000,600000,104,77699,267009,255292,98.740000,8.239000,183.251000,EC,975.490842,975.490842,1.025125,189,reports/semantic_kitti_seq00_static/seq00_static_600k.ply
00,650000,650000,115,84755,291279,273966,102.236000,8.239000,186.316000,EC,1074.617797,1074.617797,0.930563,196,reports/semantic_kitti_seq00_static/seq00_static_650k.ply
00,700000,700000,124,91506,311907,296587,105.017000,8.595000,186.427000,EC,1181.498875,1181.498875,0.846383,197,reports/semantic_kitti_seq00_static/seq00_static_700k.ply
00,750000,750000,133,98053,333407,318540,109.798000,8.874000,186.427000,EC,1285.275576,1285.275576,0.778043,204,reports/semantic_kitti_seq00_static/seq00_static_750k.ply
00,800000,800000,143,103218,357918,338864,111.767000,8.874000,186.427000,EC,1384.712951,1384.712951,0.722171,205,reports/semantic_kitti_seq00_static/seq00_static_800k.ply
