sequence,target_points,loaded_points,frames_used,car,tree,building,bbox_x,bbox_y,bbox_z,algorithm,best_ms,mean_ms,fps_best,clusters,ply_path
00,50000,50000,3,3568,31046,15386,68.269000,5.795000,100.897000,RG,304.527360,304.527360,3.283777,39,reports/semantic_kitti_seq00_static/seq00_static_50k.ply
00,100000,100000,8,7739,63214,29047,68.269000,5.987000,103.673000,RG,633.121844,633.121844,1.579475,56,reports/semantic_kitti_seq00_static/seq00_static_100k.ply
00,150000,150000,15,12589,92797,44614,87.181000,6.392000,110.297000,RG,1049.642383,1049.642383,0.952705,68,reports/semantic_kitti_seq00_static/seq00_static_150k.ply
00,200000,200000,24,17167,117201,65632,91.263000,6.710000,117.872000,RG,1367.924491,1367.924491,0.731035,99,reports/semantic_kitti_seq00_static/seq00_static_200k.ply
00,250000,250000,32,22335,139605,88060,93.897000,6.948000,125.930000,RG,1706.556637,1706.556637,0.585975,121,reports/semantic_kitti_seq00_static/seq00_static_250k.ply
00,300000,300000,43,29996,155802,114202,93.897000,6.948000,133.388000,RG,2100.271085,2100.271085,0.476129,140,reports/semantic_kitti_seq00_static/seq00_static_300k.ply
00,350000,350000,54,38150,167738,144112,95.704000,7.053000,146.328000,RG,2576.284549,2576.284549,0.388156,173,reports/semantic_kitti_seq00_static/seq00_static_350k.ply
00,400000,400000,62,43609,182330,174061,96.071000,7.160000,155.180000,RG,2849.284002,2849.284002,0.350965,200,reports/semantic_kitti_seq00_static/seq00_static_400k.ply
00,450000,450000,71,50880,201057,198063,96.071000,7.329000,163.493000,RG,3302.919374,3302.919374,0.302762,219,reports/semantic_kitti_seq00_static/seq00_static_450k.ply
00,500000,500000,84,61134,218676,220190,96.071000,7.780000,172.488000,RG,3626.518996,3626.518996,0.275747,244,reports/semantic_kitti_seq00_static/seq00_static_500k.ply
00,550000,550000,94,69731,243089,237180,97.134000,7.969000,178.912000,RG,4115.016490,4115.016490,0.243012,262,reports/semantic_kitti_seq00_static/seq00_static_550k.ply
00,600000,600000,104,77699,267009,255292,98.740000,8.239000,183.251000,RG,4515.789567,4515.789567,0.221445,280,reports/semantic_kitti_seq00_static/seq00_static_600k.ply
00,650000,650000,115,84755,291279,273966,102.236000,8.239000,186.316000,RG,5047.101790,5047.101790,0.198134,294,reports/semantic_kitti_seq00_static/seq00_static_650k.ply
00,700000,700000,124,91506,311907,296587,105.017000,8.595000,186.427000,RG,5494.268093,5494.268093,0.182008,313,reports/semantic_kitti_seq00_static/seq00_static_700k.ply
00,750000,750000,133,98053,333407,318540,109.798000,8.874000,186.427000,RG,5993.755489,5993.755489,0.166840,326,reports/semantic_kitti_seq00_static/seq00_static_750k.ply
