sequence,target_points,loaded_points,frames_used,car,tree,building,bbox_x,bbox_y,bbox_z,algorithm,best_ms,mean_ms,fps_best,clusters,ply_path
00,50000,50000,3,3568,31046,15386,68.269000,5.795000,100.897000,FEC,22.127100,22.127100,45.193451,39,reports/semantic_kitti_seq00_static/seq00_static_50k.ply
00,100000,100000,8,7739,63214,29047,68.269000,5.987000,103.673000,FEC,66.221496,66.221496,15.100837,78,reports/semantic_kitti_seq00_static/seq00_static_100k.ply
00,150000,150000,15,12589,92797,44614,87.181000,6.392000,110.297000,FEC,133.450137,133.450137,7.493436,88,reports/semantic_kitti_seq00_static/seq00_static_150k.ply
00,200000,200000,24,17167,117201,65632,91.263000,6.710000,117.872000,FEC,185.855118,185.855118,5.380535,112,reports/semantic_kitti_seq00_static/seq00_static_200k.ply
00,250000,250000,32,22335,139605,88060,93.897000,6.948000,125.930000,FEC,265.276958,265.276958,3.769645,133,reports/semantic_kitti_seq00_static/seq00_static_250k.ply
00,300000,300000,43,29996,155802,114202,93.897000,6.948000,133.388000,FEC,364.045718,364.045718,2.746908,145,reports/semantic_kitti_seq00_static/seq00_static_300k.ply
00,350000,350000,54,38150,167738,144112,95.704000,7.053000,146.328000,FEC,470.929728,470.929728,2.123459,156,reports/semantic_kitti_seq00_static/seq00_static_350k.ply
00,400000,400000,62,43609,182330,174061,96.071000,7.160000,155.180000,FEC,573.932936,573.932936,1.742364,171,reports/semantic_kitti_seq00_static/seq00_static_400k.ply
00,450000,450000,71,50880,201057,198063,96.071000,7.329000,163.493000,FEC,691.840078,691.840078,1.445421,180,reports/semantic_kitti_seq00_static/seq00_static_450k.ply
00,500000,500000,84,61134,218676,220190,96.071000,7.780000,172.488000,FEC,852.837046,852.837046,1.172557,181,reports/semantic_kitti_seq00_static/seq00_static_500k.ply
00,550000,550000,94,69731,243089,237180,97.134000,7.969000,178.912000,FEC,1044.551543,1044.551543,0.957349,200,reports/semantic_kitti_seq00_static/seq00_static_550k.ply
00,600000,600000,104,77699,267009,255292,98.740000,8.239000,183.251000,FEC,1170.886818,1170.886818,0.854054,221,reports/semantic_kitti_seq00_static/seq00_static_600k.ply
00,650000,650000,115,84755,291279,273966,102.236000,8.239000,186.316000,FEC,1313.844046,1313.844046,0.761125,225,reports/semantic_kitti_seq00_static/seq00_static_650k.ply
