sequence,target_points,loaded_points,frames_used,car,tree,building,bbox_x,bbox_y,bbox_z,FEC_ms,FEC_fps,FEC_clusters,FECunion_ms,FECunion_fps,FECunion_clusters,EC_ms,EC_fps,EC_clusters,RG_ms,RG_fps,RG_clusters
00,50000,50000,3,3568,31046,15386,68.269000,5.795000,100.897000,22.127100,45.193451,39,14.931734,66.971458,39,55.163685,18.127868,43,304.527360,3.283777,39
00,100000,100000,8,7739,63214,29047,68.269000,5.987000,103.673000,66.221496,15.100837,78,30.805455,32.461783,78,129.151277,7.742858,69,633.121844,1.579475,56
00,150000,150000,15,12589,92797,44614,87.181000,6.392000,110.297000,133.450137,7.493436,88,50.170761,19.931928,88,208.244180,4.802055,83,1049.642383,0.952705,68
00,200000,200000,24,17167,117201,65632,91.263000,6.710000,117.872000,185.855118,5.380535,112,64.211432,15.573551,112,288.241048,3.469318,102,1367.924491,0.731035,99
00,250000,250000,32,22335,139605,88060,93.897000,6.948000,125.930000,265.276958,3.769645,133,82.530115,12.116789,133,369.502381,2.706343,114,1706.556637,0.585975,121
00,300000,300000,43,29996,155802,114202,93.897000,6.948000,133.388000,364.045718,2.746908,145,97.575315,10.248494,145,466.710826,2.142654,125,2100.271085,0.476129,140
00,350000,350000,54,38150,167738,144112,95.704000,7.053000,146.328000,470.929728,2.123459,156,110.615421,9.040331,156,546.044998,1.831351,134,2576.284549,0.388156,173
00,400000,400000,62,43609,182330,174061,96.071000,7.160000,155.180000,573.932936,1.742364,171,135.669066,7.370877,171,625.269891,1.599309,149,2849.284002,0.350965,200
00,450000,450000,71,50880,201057,198063,96.071000,7.329000,163.493000,691.840078,1.445421,180,145.108422,6.891399,180,706.169728,1.416090,153,3302.919374,0.302762,219
00,500000,500000,84,61134,218676,220190,96.071000,7.780000,172.488000,852.837046,1.172557,181,158.067482,6.326412,181,808.718757,1.236524,156,3626.518996,0.275747,244
00,550000,550000,94,69731,243089,237180,97.134000,7.969000,178.912000,1044.551543,0.957349,200,195.466375,5.115969,200,890.703277,1.122708,174,4115.016490,0.243012,262
00,600000,600000,104,77699,267009,255292,98.740000,8.239000,183.251000,1170.886818,0.854054,221,200.172905,4.995681,221,975.490842,1.025125,189,4515.789567,0.221445,280
00,650000,650000,115,84755,291279,273966,102.236000,8.239000,186.316000,1313.844046,0.761125,225,222.532545,4.493725,225,1074.617797,0.930563,196,5047.101790,0.198134,294
00,700000,700000,124,91506,311907,296587,105.017000,8.595000,186.427000,1528.941755,0.654047,229,230.186835,4.344297,229,1181.498875,0.846383,197,5494.268093,0.182008,313
00,750000,750000,133,98053,333407,318540,109.798000,8.874000,186.427000,1692.660055,0.590786,235,247.541799,4.039722,235,1285.275576,0.778043,204,5993.755489,0.166840,326
00,800000,800000,143,103218,357918,338864,111.767000,8.874000,186.427000,1859.866800,0.537673,239,270.691780,3.694239,239,1384.712951,0.722171,205,6566.269496,0.152293,328
00,850000,850000,153,106292,384461,359247,123.768000,8.990000,186.427000,2074.602748,0.482020,247,289.471829,3.454568,247,1474.564504,0.678166,216,7114.750180,0.140553,356
00,900000,900000,165,109859,411007,379134,131.836000,9.015000,186.496000,2295.482742,0.435638,262,308.735539,3.239018,262,1562.283821,0.640089,229,7509.450334,0.133166,376
00,950000,950000,175,113325,443948,392727,141.282000,9.015000,189.314000,2607.629843,0.383490,278,325.665014,3.070640,278,1671.669813,0.598204,244,7944.167177,0.125879,393
00,1000000,1000000,184,118153,473389,408458,147.394000,9.230000,189.401000,2771.704213,0.360789,286,342.891532,2.916374,286,1759.443688,0.568361,253,8375.649477,0.119394,411
00,1050000,1050000,195,123131,503659,423210,150.549000,9.959000,189.401000,3036.188943,0.329360,303,363.759677,2.749068,303,1834.654185,0.545062,267,8954.113760,0.111681,425
00,1100000,1100000,203,127760,531614,440626,150.549000,9.960000,189.401000,3341.548258,0.299262,313,385.984506,2.590778,313,1910.499350,0.523423,278,9318.815341,0.107310,453
00,1150000,1150000,213,132749,554878,462373,156.970000,10.369000,192.392000,3569.473985,0.280153,318,443.282782,2.255896,318,2052.177591,0.487287,283,9771.629436,0.102337,472
00,1200000,1200000,227,137957,578052,483991,158.678000,10.369000,199.219000,3824.333049,0.261484,315,483.425703,2.068570,315,2147.268106,0.465708,283,10406.729732,0.096092,484
00,1250000,1250000,241,142603,600144,507253,158.678000,10.480000,204.038000,4237.459123,0.235990,323,451.561857,2.214536,323,2222.352350,0.449974,289,10777.913999,0.092782,498
00,1300000,1300000,252,146749,621481,531770,164.942000,10.754000,215.448000,4669.037690,0.214177,328,461.029872,2.169057,328,2296.419050,0.435461,289,11156.830516,0.089631,523
00,1350000,1350000,262,150642,642171,557187,167.989000,10.754000,222.958000,4793.559452,0.208613,350,489.087018,2.044626,350,2411.876587,0.414615,313,11593.762924,0.086253,539
00,1400000,1400000,270,153729,662488,583783,167.989000,10.945000,231.242000,5188.387659,0.192738,360,496.956575,2.012248,360,2499.350339,0.400104,321,11935.004824,0.083787,559
00,1450000,1450000,283,159300,681229,609471,172.028000,12.171000,240.181000,5506.929642,0.181589,371,515.425568,1.940144,371,2578.476619,0.387826,336,12917.156963,0.077416,579
00,1500000,1500000,292,163418,699908,636674,172.028000,12.171000,249.602000,5912.405595,0.169136,379,543.221823,1.840869,379,2730.433123,0.366242,347,13097.764982,0.076349,606
00,1550000,1550000,300,168090,727419,654491,174.019000,12.171000,256.100000,6446.162868,0.155131,400,564.789609,1.770571,400,2796.492923,0.357591,365,13330.482475,0.075016,623
00,1600000,1600000,308,172096,753718,674186,174.256000,12.171000,262.431000,7030.108844,0.142245,417,593.156853,1.685895,417,2864.213048,0.349136,382,14099.937134,0.070922,646
00,1650000,1650000,320,179611,773054,697335,174.256000,12.171000,271.302000,7340.437775,0.136232,422,595.632636,1.678887,422,2950.604359,0.338914,387,14365.023823,0.069614,675
00,1700000,1700000,328,184993,798672,716335,174.256000,12.171000,277.302000,7687.886416,0.130075,433,625.081151,1.599792,433,3065.792162,0.326180,396,14735.395453,0.067864,690
00,1750000,1750000,341,191012,823171,735817,174.256000,12.171000,290.142000,7958.139415,0.125658,445,673.068308,1.485733,445,3152.460572,0.317213,407,15215.307252,0.065723,710
00,1800000,1800000,351,194982,851802,753216,174.256000,12.171000,298.347000,8799.421334,0.113644,464,651.950531,1.533859,464,3209.132608,0.311611,424,15384.744199,0.064999,728
00,1850000,1850000,361,200804,883836,765360,174.256000,12.171000,304.685000,8912.041722,0.112208,479,672.333069,1.487358,479,3304.387420,0.302628,435,15783.610840,0.063357,756
00,1900000,1900000,370,204264,921274,774462,174.256000,12.488000,311.091000,9368.343368,0.106742,492,711.481567,1.405518,492,3391.659238,0.294841,442,16576.765986,0.060325,761
00,1950000,1950000,379,207442,958454,784104,174.256000,13.316000,317.152000,10356.118220,0.096561,505,704.664518,1.419115,505,3478.386186,0.287490,457,17240.895614,0.058002,774
00,2000000,2000000,390,211501,989349,799150,174.256000,13.316000,323.650000,10515.144747,0.095101,508,724.354861,1.380539,508,3644.957287,0.274352,461,17474.940178,0.057225,796
00,2050000,2050000,402,215111,1016848,818041,174.256000,13.316000,331.766000,10980.955781,0.091067,520,747.567229,1.337672,520,3703.051106,0.270048,475,18090.898563,0.055276,810
00,2100000,2100000,412,219648,1040515,839837,174.256000,13.316000,337.813000,11585.538373,0.086315,539,773.588134,1.292678,539,3791.012247,0.263782,491,18410.262439,0.054318,824
00,2150000,2150000,421,222481,1068215,859304,174.256000,13.316000,341.334000,12147.670115,0.082320,552,811.840364,1.231769,552,3781.912326,0.264416,498,18794.596591,0.053207,832
00,2200000,2200000,428,224544,1102759,872697,174.256000,13.792000,343.214000,12882.987935,0.077622,583,806.109375,1.240526,583,3916.063640,0.255358,522,19722.845925,0.050703,846
00,2250000,2250000,439,227830,1135588,886582,174.256000,13.792000,343.976000,13972.322141,0.071570,583,845.824064,1.182279,583,3994.512398,0.250343,522,19938.486381,0.050154,850
00,2300000,2300000,451,230964,1164769,904267,174.256000,13.792000,343.976000,14661.633981,0.068205,588,895.042526,1.117265,588,4094.237299,0.244246,529,20708.373691,0.048290,855
00,2350000,2350000,460,234115,1188894,926991,174.256000,13.792000,343.976000,15065.411037,0.066377,611,881.892271,1.133925,611,4184.393791,0.238983,551,21032.264882,0.047546,874
00,2400000,2400000,468,236578,1214120,949302,174.256000,13.792000,343.976000,16172.892032,0.061832,622,889.664712,1.124019,622,4335.660401,0.230645,551,21354.922795,0.046828,895
00,2450000,2450000,482,241707,1235882,972411,174.256000,13.792000,343.976000,17245.773832,0.057985,631,937.520065,1.066644,631,4422.011356,0.226141,566,21932.271327,0.045595,913
00,2500000,2500000,492,247541,1256663,995796,174.256000,13.792000,343.976000,17235.689803,0.058019,642,936.368506,1.067956,642,4475.152701,0.223456,579,22330.652658,0.044781,946
00,2550000,2550000,500,251077,1277465,1021458,174.256000,13.792000,343.976000,17590.227113,0.056850,653,939.623669,1.064256,653,4535.882158,0.220464,587,22662.103630,0.044127,966
00,2600000,2600000,511,255000,1301813,1043187,174.256000,13.792000,343.976000,18657.008500,0.053599,655,969.530546,1.031427,655,4642.532694,0.215400,592,23484.864325,0.042581,983
00,2650000,2650000,525,264149,1323815,1062036,174.428000,13.792000,343.976000,19383.027343,0.051592,671,985.742409,1.014464,671,4754.870849,0.210311,608,23588.360410,0.042394,996
00,2700000,2700000,540,277739,1339948,1082313,177.600000,13.792000,343.976000,19602.597271,0.051014,695,994.720792,1.005307,695,4835.169285,0.206818,632,24094.869134,0.041503,1025
00,2750000,2750000,567,288370,1358212,1103418,178.620000,13.792000,343.976000,20491.784549,0.048800,716,1014.423020,0.985782,716,4952.321464,0.201926,649,24500.359032,0.040816,1059
00,2800000,2800000,582,295956,1371973,1132071,182.201000,13.792000,343.976000,21204.024142,0.047161,724,1040.659607,0.960929,724,5077.207800,0.196959,658,24897.795669,0.040164,1086
00,2850000,2850000,592,305293,1384234,1160473,183.528000,13.792000,344.179000,22035.252637,0.045382,729,1066.415097,0.937721,729,5126.061020,0.195082,667,25651.463244,0.038984,1119
00,2900000,2900000,604,315802,1396122,1188076,184.550000,13.792000,350.919000,22494.629093,0.044455,738,1078.688169,0.927052,738,5219.437136,0.191592,669,26805.041905,0.037306,1121
00,2950000,2950000,619,327179,1408957,1213864,184.550000,13.792000,363.081000,22999.069435,0.043480,742,1099.875438,0.909194,742,5304.656068,0.188514,671,26980.908000,0.037063,1142
00,3000000,3000000,627,333711,1429499,1236790,186.236000,13.792000,370.594000,23887.145685,0.041864,761,1118.163001,0.894324,761,5443.142230,0.183717,688,27113.326952,0.036882,1159
00,3050000,3050000,636,342122,1450026,1257852,186.928000,13.792000,378.450000,25202.545962,0.039679,769,1144.401007,0.873820,769,5555.050397,0.180016,694,,,
00,3100000,3100000,648,358364,1457499,1284137,186.928000,13.792000,392.512000,25883.859003,0.038634,768,1168.508199,0.855792,768,5677.164149,0.176144,697,,,
00,3150000,3150000,661,371645,1463949,1314406,186.928000,13.792000,405.662000,26958.399254,0.037094,778,1175.090063,0.850999,778,5694.810422,0.175598,708,,,
00,3200000,3200000,676,387175,1472044,1340781,186.928000,13.792000,417.522000,27473.430640,0.036399,796,1185.668244,0.843406,796,5832.580355,0.171451,722,,,
00,3250000,3250000,689,402514,1482132,1365354,186.928000,13.792000,434.264000,28309.433591,0.035324,803,1189.092451,0.840978,803,5846.015857,0.171057,726,,,
00,3300000,3300000,699,412406,1498094,1389500,191.481000,13.792000,444.293000,28685.351457,0.034861,809,1287.779851,0.776530,809,5877.024267,0.170154,732,,,
00,3350000,3350000,709,418782,1512860,1418358,191.606000,13.792000,453.134000,29517.897620,0.033878,820,1215.753717,0.822535,820,6129.720090,0.163140,741,,,
00,3400000,3400000,722,426698,1528887,1444415,191.606000,13.792000,462.739000,30240.383782,0.033068,840,1251.239404,0.799208,840,6145.136257,0.162730,760,,,
00,3450000,3450000,736,435862,1548358,1465780,193.768000,13.792000,468.139000,32105.467987,0.031147,879,1270.853228,0.786873,879,6193.991507,0.161447,799,,,
00,3500000,3500000,746,441208,1564538,1494254,196.734000,13.792000,470.908000,32828.566660,0.030461,880,1275.856193,0.783787,880,6275.350184,0.159354,801,,,
00,3550000,3550000,758,446921,1580561,1522518,203.795000,13.792000,471.961000,33516.986635,0.029836,886,1300.592841,0.768880,886,6366.812507,0.157064,805,,,
00,3600000,3600000,775,452849,1595967,1551184,214.723000,13.792000,471.961000,34153.910223,0.029279,892,1366.673016,0.731704,892,6548.581185,0.152705,807,,,
00,3650000,3650000,788,457638,1613324,1579038,224.386000,13.792000,471.961000,34505.914668,0.028981,900,1323.186290,0.755751,900,6577.111531,0.152042,817,,,
00,3700000,3700000,799,462021,1635919,1602060,237.738000,13.792000,471.961000,35706.974657,0.028006,903,1382.096200,0.723539,903,6661.122867,0.150125,817,,,
00,3750000,3750000,807,465383,1663509,1621108,244.348000,13.792000,471.961000,36697.913995,0.027250,924,1359.712046,0.735450,924,6716.540774,0.148886,837,,,
00,3800000,3800000,813,467211,1695904,1636885,249.559000,13.792000,471.961000,37243.529934,0.026850,943,1357.854236,0.736456,943,6867.158322,0.145621,848,,,
00,3850000,3850000,820,468473,1729521,1652006,255.268000,13.792000,471.961000,38219.420685,0.026165,945,1431.808420,0.698417,945,7034.273143,0.142161,855,,,
00,3900000,3900000,829,469635,1761690,1668675,263.153000,13.792000,471.961000,39893.954188,0.025066,958,1429.826446,0.699386,958,7068.607134,0.141471,866,,,
00,3950000,3950000,842,475461,1785493,1689046,270.968000,13.792000,471.961000,41268.821705,0.024231,967,1502.509550,0.665553,967,7083.269546,0.141178,879,,,
00,4000000,4000000,853,482965,1805107,1711928,277.840000,13.792000,471.961000,42555.319063,0.023499,1002,1469.243037,0.680623,1002,7150.815115,0.139844,910,,,
00,4050000,4050000,862,488922,1825138,1735940,283.398000,13.792000,471.961000,43533.511089,0.022971,1022,1552.726071,0.644029,1022,7425.253008,0.134676,923,,,
00,4100000,4100000,872,495320,1843073,1761607,292.027000,13.792000,471.961000,45016.782233,0.022214,1022,1506.843394,0.663639,1022,7437.811700,0.134448,929,,,
00,4150000,4150000,883,498671,1861922,1789407,303.678000,13.792000,471.961000,45866.006805,0.021803,1042,1608.401285,0.621735,1042,7551.369792,0.132426,940,,,
00,4200000,4200000,891,500828,1884772,1814400,311.200000,13.792000,471.961000,46920.401988,0.021313,1037,1556.012047,0.642669,1037,7570.171851,0.132097,945,,,
00,4250000,4250000,899,503004,1912950,1834046,318.470000,13.792000,471.961000,47936.278571,0.020861,1060,1551.822966,0.644403,1060,7686.909927,0.130091,965,,,
00,4300000,4300000,905,506030,1938503,1855467,324.048000,13.792000,471.961000,49168.089120,0.020338,1070,1627.362585,0.614491,1070,7838.891859,0.127569,976,,,
00,4350000,4350000,911,508994,1964943,1876063,330.038000,13.792000,471.961000,49958.567071,0.020017,1079,1589.290236,0.629212,1079,7846.924389,0.127438,978,,,
00,4400000,4400000,919,512430,1993346,1894224,337.310000,13.792000,471.961000,51601.227468,0.019379,1086,1674.253600,0.597281,1086,7919.495205,0.126271,987,,,
00,4450000,4450000,927,515640,2026018,1908342,339.372000,13.792000,471.961000,52633.326458,0.018999,1099,1641.475626,0.609208,1099,8068.499347,0.123939,999,,,
00,4500000,4500000,937,518041,2060740,1921219,349.591000,13.792000,471.961000,53539.271783,0.018678,1110,1762.541778,0.567362,1110,8205.584159,0.121868,1010,,,
00,4550000,4550000,945,522197,2091538,1936265,354.666000,13.792000,471.961000,54725.280876,0.018273,1117,1712.148250,0.584062,1117,8242.620443,0.121321,1019,,,
00,4600000,4600000,953,525972,2122003,1952025,357.377000,13.792000,471.961000,56154.133084,0.017808,1138,1781.547149,0.561310,1138,8291.794632,0.120601,1034,,,
00,4650000,4650000,962,530201,2150790,1969009,358.222000,13.792000,471.961000,57588.814845,0.017364,1144,1814.010037,0.551265,1144,8499.840750,0.117649,1037,,,
00,4700000,4700000,972,534364,2181082,1984554,358.222000,13.792000,471.961000,58393.052530,0.017125,1137,1806.730802,0.553486,1137,8609.709855,0.116148,1035,,,
00,4750000,4750000,983,536936,2216366,1996698,358.222000,14.962000,471.961000,59840.632497,0.016711,1143,1838.537901,0.543910,1143,8611.491937,0.116124,1043,,,
00,4800000,4800000,992,539008,2250775,2010217,358.222000,14.962000,471.961000,61733.567599,0.016199,1168,1844.977365,0.542012,1168,8709.357785,0.114819,1061,,,
00,4850000,4850000,1000,542269,2277938,2029793,358.222000,14.962000,471.961000,62629.067326,0.015967,1172,1877.562496,0.532605,1172,8840.996495,0.113109,1062,,,
00,4900000,4900000,1008,545258,2307088,2047654,358.222000,14.962000,471.961000,64344.709615,0.015541,1169,1910.918423,0.523309,1169,8857.101243,0.112904,1063,,,
00,4950000,4950000,1015,548865,2332094,2069041,358.222000,14.962000,471.961000,64771.371100,0.015439,1184,1820.363272,0.549341,1184,8971.029340,0.111470,1073,,,
00,5000000,5000000,1023,552253,2359605,2088142,358.222000,15.616000,471.961000,66167.669386,0.015113,1199,1923.958259,0.519762,1199,9085.726841,0.110063,1090,,,
