sequence,frame_id,raw_points,removed_ground_points,nonground_points,algorithm,csf_ms,cluster_ms,total_ms,cluster_fps,total_fps,clusters
00,000000,124668,82014,42654,EC,89.177495,70.479497,159.656992,14.188524,6.263428,40
00,000001,124605,80525,44080,EC,78.306451,71.356064,149.662515,14.014226,6.681700,38
00,000002,124478,80250,44228,EC,69.891977,72.405528,142.297505,13.811100,7.027530,37
00,000003,124167,77819,46348,EC,53.785838,77.850956,131.636794,12.845057,7.596660,43
00,000004,123969,77729,46240,EC,58.262131,82.090148,140.352279,12.181730,7.124929,31
00,000005,123924,77161,46763,EC,51.363418,82.629125,133.992543,12.102270,7.463102,33
00,000006,123373,73312,50061,EC,43.159288,91.474317,134.633605,10.932030,7.427566,35
00,000007,122765,75808,46957,EC,41.596523,88.412815,130.009338,11.310578,7.691755,30
00,000008,122123,72661,49462,EC,35.694500,91.539324,127.233824,10.924267,7.859545,32
00,000009,121357,70969,50388,EC,44.668668,97.590526,142.259194,10.246896,7.029423,34
00,000010,121018,70158,50860,EC,37.045048,101.870640,138.915688,9.816371,7.198611,37
00,000011,120945,67417,53528,EC,36.240256,114.470142,150.710398,8.735903,6.635242,34
00,000012,120503,67520,52983,EC,37.653153,111.799888,149.453041,8.944553,6.691065,38
00,000013,120295,66724,53571,EC,54.194771,110.415699,164.610470,9.056683,6.074948,32
00,000014,120406,66320,54086,EC,71.214455,112.788914,184.003369,8.866120,5.434683,34
00,000015,121023,68474,52549,EC,59.347623,107.312911,166.660534,9.318543,6.000221,31
00,000016,121842,69614,52228,EC,51.434925,103.885948,155.320873,9.625941,6.438285,32
00,000017,123107,73099,50008,EC,62.265354,99.984505,162.249859,10.001550,6.163334,35
00,000018,123940,74162,49778,EC,60.713231,104.666565,165.379796,9.554149,6.046688,36
00,000019,124301,74889,49412,EC,79.496290,100.268500,179.764790,9.973222,5.562825,40
00,000020,124553,75689,48864,EC,72.972822,96.703423,169.676245,10.340896,5.893577,39
00,000021,124656,74220,50436,EC,112.597268,91.130752,203.728020,10.973244,4.908505,38
00,000022,124644,73075,51569,EC,107.554955,87.759197,195.314152,11.394817,5.119957,39
00,000023,124526,73284,51242,EC,72.717648,87.945661,160.663309,11.370658,6.224196,36
00,000024,124520,70154,54366,EC,88.339148,92.156817,180.495965,10.851069,5.540290,40
00,000025,124600,74036,50564,EC,68.320834,88.682738,157.003572,11.276152,6.369282,36
00,000026,124550,69784,54766,EC,69.212108,104.360833,173.572941,9.582139,5.761267,36
00,000027,124242,71079,53163,EC,64.077658,114.006477,178.084135,8.771431,5.615323,39
00,000028,124163,65827,58336,EC,137.648770,132.712466,270.361236,7.535087,3.698755,39
00,000029,124018,68430,55588,EC,77.563463,134.617911,212.181374,7.428432,4.712949,31
00,000030,124134,66146,57988,EC,50.315291,149.073453,199.388744,6.708102,5.015328,31
00,000031,124140,63614,60526,EC,49.107404,156.689349,205.796753,6.382055,4.859163,32
00,000032,123932,58837,65095,EC,74.478640,170.169685,244.648325,5.876487,4.087500,32
00,000033,123826,71147,52679,EC,66.057540,143.509251,209.566791,6.968192,4.771748,31
00,000034,123502,71331,52171,EC,41.280584,142.483264,183.763848,7.018368,5.441767,37
00,000035,123006,68832,54174,EC,43.805052,148.729614,192.534666,6.723611,5.193870,36
00,000036,122749,61576,61173,EC,52.515615,165.572990,218.088605,6.039632,4.585292,36
00,000037,122379,68644,53735,EC,45.333695,149.649384,194.983079,6.682286,5.128650,35
00,000038,121738,68090,53648,EC,50.753798,149.665547,200.419345,6.681564,4.989538,37
00,000039,121497,67306,54191,EC,54.490820,158.851235,213.342055,6.295198,4.687308,34
00,000040,121148,69786,51362,EC,56.582678,156.455040,213.037718,6.391613,4.694004,34
00,000041,120359,64722,55637,EC,43.444734,169.307316,212.752050,5.906419,4.700307,36
00,000042,119454,67757,51697,EC,37.503266,164.248916,201.752182,6.088320,4.956576,33
00,000043,118399,62688,55711,EC,28.690700,212.726592,241.417292,4.700870,4.142205,30
00,000044,116881,61290,55591,EC,40.926808,227.126017,268.052825,4.402842,3.730608,32
00,000045,114496,61115,53381,EC,41.982266,271.916002,313.898268,3.677606,3.185746,27
00,000046,113139,57332,55807,EC,55.912329,295.012544,350.924873,3.389686,2.849613,30
00,000047,113810,55248,58562,EC,58.271771,300.038928,358.310699,3.332901,2.790874,32
00,000048,115974,59752,56222,EC,55.657467,275.543471,331.200938,3.629191,3.019315,28
00,000049,117156,61324,55832,EC,69.921287,242.678522,312.599809,4.120678,3.198978,32
00,000050,118636,59202,59434,EC,78.024990,205.648577,283.673567,4.862664,3.525179,33
00,000051,119830,65683,54147,EC,57.750167,165.825315,223.575482,6.030442,4.472762,33
00,000052,120796,54500,66296,EC,162.968999,175.834306,338.803305,5.687172,2.951565,36
00,000053,121891,67655,54236,EC,66.932936,142.473874,209.406810,7.018831,4.775394,32
00,000054,122639,66380,56259,EC,71.925950,151.768290,223.694240,6.588992,4.470388,29
00,000055,123343,59686,63657,EC,208.750334,158.858027,367.608361,6.294929,2.720286,36
00,000056,123232,55080,68152,EC,239.689451,172.887546,412.576997,5.784107,2.423790,39
00,000057,123130,55311,67819,EC,277.929847,157.667834,435.597681,6.342448,2.295696,40
00,000058,122929,57305,65624,EC,395.809425,153.921243,549.730668,6.496829,1.819073,42
00,000059,122703,49373,73330,EC,277.739799,172.670772,450.410571,5.791368,2.220197,40
00,000060,122569,56260,66309,EC,251.822225,140.801092,392.623317,7.102218,2.546970,36
00,000061,122161,51238,70923,EC,328.142721,156.860494,485.003215,6.375091,2.061842,41
00,000062,121732,68804,52928,EC,78.682120,102.288171,180.970291,9.776302,5.525769,36
00,000063,120696,69019,51677,EC,102.464289,101.788993,204.253282,9.824245,4.895882,36
00,000064,120938,62621,58317,EC,85.622673,164.285205,249.907878,6.086975,4.001474,29
00,000065,121051,64116,56935,EC,90.213355,170.179412,260.392767,5.876151,3.840352,34
00,000066,121199,59055,62144,EC,177.587754,184.171448,361.759202,5.429723,2.764270,34
00,000067,121116,49970,71146,EC,147.222334,207.356160,354.578494,4.822620,2.820250,39
00,000068,121081,49956,71125,EC,186.511870,191.371709,377.883579,5.225433,2.646318,35
00,000069,121097,68357,52740,EC,67.927631,138.777334,206.704965,7.205788,4.837813,30
00,000070,120793,67553,53240,EC,45.546665,145.706571,191.253236,6.863108,5.228670,27
00,000071,120492,67617,52875,EC,56.582667,140.340193,196.922860,7.125542,5.078131,29
00,000072,120282,60045,60237,EC,87.124090,159.588040,246.712130,6.266134,4.053307,35
00,000073,120036,68403,51633,EC,31.204352,146.466737,177.671089,6.827489,5.628378,26
00,000074,119747,59332,60415,EC,69.923550,173.200730,243.124280,5.773648,4.113123,32
00,000075,119053,67073,51980,EC,33.780456,162.640896,196.421352,6.148515,5.091096,29
00,000076,118742,66752,51990,EC,57.083103,148.878653,205.961756,6.716880,4.855270,37
00,000077,118174,58761,59413,EC,68.837138,176.604232,245.441370,5.662378,4.074293,37
00,000078,117478,55650,61828,EC,56.967932,179.689944,236.657876,5.565142,4.225509,34
00,000079,117445,66741,50704,EC,33.531216,135.916814,169.448030,7.357441,5.901514,36
00,000080,117412,60895,56517,EC,106.715189,153.649248,260.364437,6.508330,3.840770,36
00,000081,117740,60457,57283,EC,112.453934,147.435651,259.889585,6.782620,3.847788,36
00,000082,117977,62469,55508,EC,108.608134,147.524092,256.132226,6.778554,3.904233,34
00,000083,118573,67032,51541,EC,32.259331,147.138405,179.397736,6.796322,5.574206,37
00,000084,119351,61112,58239,EC,49.752022,166.301106,216.053128,6.013189,4.628491,38
00,000085,119125,63309,55816,EC,44.432469,152.084127,196.516596,6.575308,5.088629,37
00,000086,119352,61157,58195,EC,156.191495,167.837557,324.029052,5.958142,3.086143,36
00,000087,119815,67141,52674,EC,56.859134,132.016349,188.875483,7.574819,5.294493,38
00,000088,120067,61611,58456,EC,70.196825,181.436928,251.633753,5.511557,3.974030,38
00,000089,120549,55554,64995,EC,227.949425,204.325463,432.274888,4.894153,2.313343,35
00,000090,120965,63574,57391,EC,79.842659,177.117786,256.960445,5.645960,3.891650,33
00,000091,121333,61427,59906,EC,95.023701,187.244119,282.267820,5.340622,3.542735,35
00,000092,121500,71322,50178,EC,87.141601,110.031713,197.173314,9.088289,5.071680,33
00,000093,121595,65993,55602,EC,76.949286,153.398196,230.347482,6.518981,4.341267,32
00,000094,121618,65796,55822,EC,78.206393,144.624993,222.831386,6.914434,4.487698,36
00,000095,121671,67417,54254,EC,75.963194,132.421995,208.385189,7.551616,4.798806,36
00,000096,121760,68570,53190,EC,91.341786,118.706343,210.048129,8.424150,4.760814,32
00,000097,121951,67909,54042,EC,118.050119,116.364132,234.414251,8.593713,4.265952,32
00,000098,122234,69023,53211,EC,106.824659,113.484495,220.309154,8.811776,4.539076,34
00,000099,122492,71997,50495,EC,133.210399,97.608821,230.819220,10.244976,4.332395,37
01,000000,122829,102327,20502,EC,130.620142,17.991456,148.611598,55.581938,6.728950,12
01,000001,122766,102606,20160,EC,107.440011,16.804572,124.244583,59.507615,8.048641,11
01,000002,122724,103733,18991,EC,97.104117,14.594205,111.698322,68.520348,8.952686,10
01,000003,122780,104347,18433,EC,137.463270,13.288158,150.751428,75.254975,6.633436,12
01,000004,122755,104762,17993,EC,109.818982,12.523662,122.342644,79.848849,8.173765,14
