sequence,frames,algorithm,avg_csf_ms,avg_cluster_ms,avg_total_ms,avg_cluster_fps,avg_total_fps,avg_nonground_points,min_nonground_points,max_nonground_points
00,100,EC,88.058196,145.080355,233.138551,6.892732,4.289295,55410.880000,42654,73330
01,100,EC,110.107979,23.021569,133.129547,43.437526,7.511481,25505.790000,14082,40795
02,100,EC,152.101787,23.935629,176.037416,41.778723,5.680611,19422.670000,11409,36861
03,100,EC,96.028138,101.027168,197.055306,9.898328,5.074717,47128.710000,31299,71208
04,100,EC,119.699221,70.818858,190.518079,14.120533,5.248846,44095.940000,28486,52124
05,100,EC,89.440151,133.023887,222.464038,7.517447,4.495109,46808.840000,38380,55514
06,100,EC,139.739283,116.009260,255.748543,8.620002,3.910091,38848.070000,26017,59225
07,100,EC,105.461390,376.497480,481.958870,2.656060,2.074866,69144.760000,45660,116453
08,100,EC,246.974444,60.392247,307.366691,16.558417,3.253443,35716.190000,30182,45524
09,100,EC,53.905738,67.830608,121.736346,14.742607,8.214474,49316.510000,26078,65074
10,100,EC,87.526394,107.950954,195.477348,9.263466,5.115682,33159.870000,21764,55665
