sequence,frame_id,raw_points,removed_ground_points,nonground_points,algorithm,csf_ms,cluster_ms,total_ms,cluster_fps,total_fps,clusters
00,000000,124668,82014,42654,FEC,86.989880,16.019516,103.009396,62.423858,9.707852,40
00,000001,124605,80525,44080,FEC,73.454502,16.423545,89.878047,60.888194,11.126187,35
00,000002,124478,80250,44228,FEC,68.134254,16.042689,84.176943,62.333690,11.879738,38
00,000003,124167,77819,46348,FEC,55.082250,16.852878,71.935128,59.337046,13.901414,42
00,000004,123969,77729,46240,FEC,57.877583,15.896780,73.774363,62.905821,13.554844,32
00,000005,123924,77161,46763,FEC,51.250560,16.046410,67.296970,62.319235,14.859510,33
00,000006,123373,73312,50061,FEC,42.901677,17.532142,60.433819,57.038096,16.547026,34
00,000007,122765,75808,46957,FEC,40.809079,16.193837,57.002916,61.751887,17.542962,31
00,000008,122123,72661,49462,FEC,34.202613,16.992438,51.195051,58.849707,19.533138,33
00,000009,121357,70969,50388,FEC,42.693489,16.715640,59.409129,59.824213,16.832430,34
00,000010,121018,70158,50860,FEC,36.983602,18.644782,55.628384,53.634309,17.976434,38
00,000011,120945,67417,53528,FEC,36.109437,18.631826,54.741263,53.671605,18.267755,35
00,000012,120503,67520,52983,FEC,36.398315,18.300518,54.698833,54.643262,18.281926,39
00,000013,120295,66724,53571,FEC,55.779366,19.000182,74.779548,52.631075,13.372640,31
00,000014,120406,66320,54086,FEC,73.187441,18.926992,92.114433,52.834597,10.856062,35
00,000015,121023,68474,52549,FEC,63.650517,19.009115,82.659632,52.606342,12.097804,35
00,000016,121842,69614,52228,FEC,52.807225,18.319444,71.126669,54.586810,14.059424,34
00,000017,123107,73099,50008,FEC,62.332506,17.595247,79.927753,56.833530,12.511299,36
00,000018,123940,74162,49778,FEC,64.113825,17.649814,81.763639,56.657821,12.230375,38
00,000019,124301,74889,49412,FEC,77.912543,16.987400,94.899943,58.867160,10.537414,39
00,000020,124553,75689,48864,FEC,74.034373,17.816309,91.850682,56.128348,10.887235,40
00,000021,124656,74220,50436,FEC,107.918986,18.266407,126.185393,54.745304,7.924848,37
00,000022,124644,73075,51569,FEC,107.171604,19.505645,126.677249,51.267210,7.894077,40
00,000023,124526,73284,51242,FEC,75.616596,19.309676,94.926272,51.787508,10.534491,39
00,000024,124520,70154,54366,FEC,87.497918,21.147226,108.645144,47.287526,9.204277,41
00,000025,124600,74036,50564,FEC,69.197758,20.351547,89.549305,49.136314,11.167033,33
00,000026,124550,69784,54766,FEC,65.150932,19.767837,84.918769,50.587224,11.775960,37
00,000027,124242,71079,53163,FEC,60.795042,19.084391,79.879433,52.398843,12.518867,38
00,000028,124163,65827,58336,FEC,139.678755,21.062736,160.741491,47.477213,6.221169,38
00,000029,124018,68430,55588,FEC,65.682185,19.009760,84.691945,52.604557,11.807498,33
00,000030,124134,66146,57988,FEC,48.716411,19.525759,68.242170,51.214398,14.653696,31
00,000031,124140,63614,60526,FEC,47.233549,20.224382,67.457931,49.445269,14.824054,30
00,000032,123932,58837,65095,FEC,72.174291,22.563740,94.738031,44.318894,10.555423,33
00,000033,123826,71147,52679,FEC,63.510067,17.151758,80.661825,58.303061,12.397438,29
00,000034,123502,71331,52171,FEC,39.491800,17.348331,56.840131,57.642433,17.593204,37
00,000035,123006,68832,54174,FEC,43.616246,17.645827,61.262073,56.670622,16.323313,36
00,000036,122749,61576,61173,FEC,52.278557,20.178077,72.456634,49.558736,13.801359,37
00,000037,122379,68644,53735,FEC,45.460021,17.922723,63.382744,55.795093,15.777165,34
00,000038,121738,68090,53648,FEC,48.181006,18.321826,66.502832,54.579713,15.036954,39
00,000039,121497,67306,54191,FEC,53.618918,18.096771,71.715689,55.258477,13.943950,35
00,000040,121148,69786,51362,FEC,49.367420,16.963233,66.330653,58.951027,15.075986,34
00,000041,120359,64722,55637,FEC,43.151885,18.214173,61.366058,54.902301,16.295653,36
00,000042,119454,67757,51697,FEC,38.022273,18.550289,56.572562,53.907516,17.676414,33
00,000043,118399,62688,55711,FEC,28.472363,18.032360,46.504723,55.455858,21.503192,32
00,000044,116881,61290,55591,FEC,39.416724,18.906381,58.323105,52.892195,17.145864,31
00,000045,114496,61115,53381,FEC,42.728071,17.164488,59.892559,58.259821,16.696565,25
00,000046,113139,57332,55807,FEC,54.601699,18.137138,72.738837,55.135491,13.747814,29
00,000047,113810,55248,58562,FEC,57.715428,19.564306,77.279734,51.113492,12.940003,31
00,000048,115974,59752,56222,FEC,55.611370,19.018556,74.629926,52.580227,13.399451,29
00,000049,117156,61324,55832,FEC,61.978090,18.704736,80.682826,53.462396,12.394211,31
00,000050,118636,59202,59434,FEC,76.216179,20.839157,97.055336,47.986586,10.303401,31
00,000051,119830,65683,54147,FEC,54.899368,18.453399,73.352767,54.190559,13.632751,32
00,000052,120796,54500,66296,FEC,158.961797,22.962141,181.923938,43.549946,5.496803,34
00,000053,121891,67655,54236,FEC,65.481452,17.497326,82.978778,57.151590,12.051274,31
00,000054,122639,66380,56259,FEC,71.393144,19.928811,91.321955,50.178608,10.950269,30
00,000055,123343,59686,63657,FEC,207.147418,21.932510,229.079928,45.594417,4.365289,37
00,000056,123232,55080,68152,FEC,226.565416,23.643149,250.208565,42.295550,3.996666,37
00,000057,123130,55311,67819,FEC,277.215103,24.121165,301.336268,41.457367,3.318552,39
00,000058,122929,57305,65624,FEC,375.848476,22.265282,398.113758,44.912973,2.511845,42
00,000059,122703,49373,73330,FEC,275.576951,26.507306,302.084257,37.725448,3.310335,41
00,000060,122569,56260,66309,FEC,248.347979,22.880311,271.228290,43.705700,3.686931,36
00,000061,122161,51238,70923,FEC,321.316009,25.864717,347.180726,38.662708,2.880344,43
00,000062,121732,68804,52928,FEC,81.040037,17.635321,98.675358,56.704383,10.134242,36
00,000063,120696,69019,51677,FEC,100.400277,17.678032,118.078309,56.567383,8.468956,36
00,000064,120938,62621,58317,FEC,80.823333,18.917386,99.740719,52.861426,10.025996,29
00,000065,121051,64116,56935,FEC,83.848176,19.252527,103.100703,51.941233,9.699255,30
00,000066,121199,59055,62144,FEC,179.234144,20.786129,200.020273,48.109006,4.999493,34
00,000067,121116,49970,71146,FEC,145.728281,22.857867,168.586148,43.748614,5.931685,37
00,000068,121081,49956,71125,FEC,186.808547,24.682831,211.491378,40.513991,4.728325,37
00,000069,121097,68357,52740,FEC,67.341819,16.986253,84.328072,58.871135,11.858447,30
00,000070,120793,67553,53240,FEC,47.161192,16.158759,63.319951,61.885941,15.792811,31
00,000071,120492,67617,52875,FEC,55.661227,16.260382,71.921609,61.499170,13.904027,28
00,000072,120282,60045,60237,FEC,86.223805,18.937528,105.161333,52.805202,9.509199,34
00,000073,120036,68403,51633,FEC,31.050316,15.080920,46.131236,66.308952,21.677286,27
00,000074,119747,59332,60415,FEC,67.487814,18.516283,86.004097,54.006520,11.627353,32
00,000075,119053,67073,51980,FEC,32.786398,16.294440,49.080838,61.370627,20.374550,32
00,000076,118742,66752,51990,FEC,53.951221,17.302493,71.253714,57.795140,14.034356,39
00,000077,118174,58761,59413,FEC,66.146780,20.129414,86.276194,49.678545,11.590683,37
00,000078,117478,55650,61828,FEC,55.091434,19.725108,74.816542,50.696807,13.366028,32
00,000079,117445,66741,50704,FEC,32.517111,16.012452,48.529563,62.451397,20.605996,36
00,000080,117412,60895,56517,FEC,103.207300,18.093707,121.301007,55.267834,8.243955,36
00,000081,117740,60457,57283,FEC,108.447647,19.543423,127.991070,51.168109,7.813045,41
00,000082,117977,62469,55508,FEC,104.203296,18.094307,122.297603,55.266002,8.176775,36
00,000083,118573,67032,51541,FEC,31.907838,16.956140,48.863978,58.975687,20.464973,36
00,000084,119351,61112,58239,FEC,48.073570,19.193511,67.267081,52.100942,14.866113,37
00,000085,119125,63309,55816,FEC,43.432956,18.530100,61.963056,53.966250,16.138649,41
00,000086,119352,61157,58195,FEC,150.103242,19.619921,169.723163,50.968605,5.891948,38
00,000087,119815,67141,52674,FEC,53.947531,17.701794,71.649325,56.491449,13.956866,36
00,000088,120067,61611,58456,FEC,65.872601,20.967055,86.839656,47.693870,11.515476,39
00,000089,120549,55554,64995,FEC,217.298820,24.531649,241.830469,40.763668,4.135128,35
00,000090,120965,63574,57391,FEC,73.707661,19.716098,93.423759,50.719975,10.703915,33
00,000091,121333,61427,59906,FEC,89.813900,20.460018,110.273918,48.875812,9.068327,35
00,000092,121500,71322,50178,FEC,84.695922,17.590007,102.285929,56.850461,9.776516,33
00,000093,121595,65993,55602,FEC,73.811682,19.087274,92.898956,52.390928,10.764384,34
00,000094,121618,65796,55822,FEC,75.988415,19.172228,95.160643,52.158779,10.508546,36
00,000095,121671,67417,54254,FEC,76.477615,20.051374,96.528989,49.871894,10.359582,37
00,000096,121760,68570,53190,FEC,87.852393,19.412987,107.265380,51.511908,9.322672,33
00,000097,121951,67909,54042,FEC,119.029225,19.990875,139.020100,50.022823,7.193204,34
