sequence,frames,algorithm,avg_csf_ms,avg_cluster_ms,avg_total_ms,avg_cluster_fps,avg_total_fps,avg_nonground_points,min_nonground_points,max_nonground_points
00,100,FEC,85.995736,19.031348,105.027083,52.544886,9.521354,55410.880000,42654,73330
01,100,FEC,115.006557,14.210513,129.217070,70.370437,7.738916,25505.790000,14082,40795
02,100,FEC,147.436934,8.903185,156.340119,112.319356,6.396311,19422.670000,11409,36861
03,100,FEC,89.667054,18.741838,108.408892,53.356559,9.224336,47128.710000,31299,71208
04,100,FEC,111.170713,18.524112,129.694825,53.983695,7.710408,44095.940000,28486,52124
05,100,FEC,84.213608,18.246586,102.460193,54.804774,9.759888,46808.840000,38380,55514
06,100,FEC,141.799605,16.574661,158.374266,60.333058,6.314157,38848.070000,26017,59225
07,100,FEC,104.006372,25.868627,129.874999,38.656864,7.699711,69144.760000,45660,116453
08,100,FEC,232.831618,15.281915,248.113532,65.436827,4.030413,35716.190000,30182,45524
09,100,FEC,56.287226,26.206541,82.493767,38.158412,12.122128,49316.510000,26078,65074
10,100,FEC,87.663271,16.162810,103.826080,61.870431,9.631491,33159.870000,21764,55665
