sequence,semantic_avg_ms,semantic_avg_fps,semantic_avg_nonground_points,csf_avg_csf_ms,csf_avg_cluster_ms,csf_avg_total_ms,csf_avg_cluster_fps,csf_avg_total_fps,csf_avg_nonground_points
00,25.237457,39.623643,71208.370000,84.316019,6.501149,90.817168,153.818958,11.011134,55410.880000
01,25.991923,38.473490,46181.610000,113.701923,14.249982,127.951905,70.175529,7.815437,25505.790000
02,13.781372,72.561715,29053.920000,137.206586,9.128629,146.335215,109.545476,6.833625,19422.670000
03,27.150141,36.832221,64911.140000,94.417262,19.396442,113.813704,51.555847,8.786288,47128.710000
04,25.736248,38.855702,57268.750000,120.486760,19.484198,139.970958,51.323641,7.144339,44095.940000
05,24.285528,41.176786,60904.240000,91.936162,19.686712,111.622874,50.795683,8.958737,46808.840000
06,19.089061,52.386023,47883.730000,132.545856,15.320009,147.865866,65.274112,6.762886,38848.070000
07,28.088154,35.602198,76903.580000,96.088125,24.137020,120.225145,41.430135,8.317728,69144.760000
08,18.810091,53.162954,42920.550000,223.992918,15.458126,239.451044,64.690894,4.176219,35716.190000
09,38.434352,26.018391,71250.380000,54.454982,25.620332,80.075313,39.031501,12.488243,49316.510000
10,25.184075,39.707632,48948.810000,76.531396,16.106989,92.638384,62.084851,10.794661,33159.870000
