sequence,frame_id,raw_points,removed_ground_points,nonground_points,algorithm,csf_ms,cluster_ms,total_ms,cluster_fps,total_fps,clusters
00,000000,124668,82014,42654,FECunion,84.147155,12.005155,96.152310,83.297550,10.400166,40
00,000001,124605,80525,44080,FECunion,70.214319,12.418879,82.633198,80.522566,12.101674,35
00,000002,124478,80250,44228,FECunion,66.545307,12.221753,78.767060,81.821323,12.695662,38
00,000003,124167,77819,46348,FECunion,54.155013,12.730015,66.885028,78.554503,14.951029,42
00,000004,123969,77729,46240,FECunion,53.883663,12.344395,66.228058,81.008425,15.099341,32
00,000005,123924,77161,46763,FECunion,48.887366,12.545909,61.433275,79.707258,16.277823,33
00,000006,123373,73312,50061,FECunion,40.985819,13.269183,54.255002,75.362590,18.431480,34
00,000007,122765,75808,46957,FECunion,38.554995,12.618331,51.173326,79.249784,19.541431,31
00,000008,122123,72661,49462,FECunion,34.189031,13.697074,47.886105,73.008294,20.882885,33
00,000009,121357,70969,50388,FECunion,41.562585,13.102153,54.664738,76.323334,18.293328,34
00,000010,121018,70158,50860,FECunion,34.997945,13.076865,48.074810,76.470928,20.800914,38
00,000011,120945,67417,53528,FECunion,34.774047,14.395938,49.169985,69.464039,20.337610,35
00,000012,120503,67520,52983,FECunion,34.579674,14.430653,49.010327,69.296933,20.403863,39
00,000013,120295,66724,53571,FECunion,56.904785,14.609893,71.514678,68.446771,13.983143,31
00,000014,120406,66320,54086,FECunion,67.547422,14.145885,81.693307,70.691936,12.240905,35
00,000015,121023,68474,52549,FECunion,57.322187,14.261385,71.583572,70.119417,13.969686,35
00,000016,121842,69614,52228,FECunion,49.674453,14.570186,64.244639,68.633304,15.565501,34
00,000017,123107,73099,50008,FECunion,61.687388,13.875236,75.562624,72.070846,13.234056,36
00,000018,123940,74162,49778,FECunion,67.343469,13.375337,80.718806,74.764471,12.388687,38
00,000019,124301,74889,49412,FECunion,86.133493,13.636392,99.769885,73.333181,10.023065,39
00,000020,124553,75689,48864,FECunion,74.784420,13.671080,88.455500,73.147111,11.305120,40
00,000021,124656,74220,50436,FECunion,123.392728,14.325825,137.718553,69.804008,7.261186,37
00,000022,124644,73075,51569,FECunion,111.987808,14.138406,126.126214,70.729331,7.928566,40
00,000023,124526,73284,51242,FECunion,70.060441,13.846912,83.907353,72.218268,11.917907,39
00,000024,124520,70154,54366,FECunion,88.560743,18.886471,107.447214,52.947954,9.306896,41
00,000025,124600,74036,50564,FECunion,73.127419,14.025878,87.153297,71.296784,11.474035,33
00,000026,124550,69784,54766,FECunion,66.964393,15.167465,82.131858,65.930596,12.175543,37
00,000027,124242,71079,53163,FECunion,62.225272,14.571240,76.796512,68.628339,13.021425,38
00,000028,124163,65827,58336,FECunion,140.055877,16.312917,156.368794,61.301115,6.395138,38
00,000029,124018,68430,55588,FECunion,66.340495,15.048567,81.389062,66.451510,12.286663,33
00,000030,124134,66146,57988,FECunion,48.532953,16.359429,64.892382,61.126828,15.410129,31
00,000031,124140,63614,60526,FECunion,44.858404,16.367269,61.225673,61.097548,16.333018,30
00,000032,123932,58837,65095,FECunion,69.735967,17.387348,87.123315,57.513084,11.477984,33
00,000033,123826,71147,52679,FECunion,62.825618,14.137181,76.962799,70.735460,12.993290,29
00,000034,123502,71331,52171,FECunion,39.924073,13.796239,53.720312,72.483523,18.614933,37
00,000035,123006,68832,54174,FECunion,41.987392,15.221652,57.209044,65.695892,17.479754,36
00,000036,122749,61576,61173,FECunion,53.964698,16.012035,69.976733,62.453024,14.290464,37
00,000037,122379,68644,53735,FECunion,43.762157,14.353793,58.115950,69.667996,17.206980,34
00,000038,121738,68090,53648,FECunion,47.722037,14.429267,62.151304,69.303590,16.089767,39
00,000039,121497,67306,54191,FECunion,52.988590,16.358023,69.346613,61.132082,14.420315,35
00,000040,121148,69786,51362,FECunion,48.345634,14.054790,62.400424,71.150120,16.025532,34
00,000041,120359,64722,55637,FECunion,43.189539,14.778757,57.968296,67.664689,17.250809,36
00,000042,119454,67757,51697,FECunion,34.869097,13.567695,48.436792,73.704487,20.645463,33
00,000043,118399,62688,55711,FECunion,28.149440,14.672383,42.821823,68.155255,23.352579,32
00,000044,116881,61290,55591,FECunion,38.319212,14.539034,52.858246,68.780361,18.918524,31
00,000045,114496,61115,53381,FECunion,41.698066,14.253598,55.951664,70.157724,17.872569,25
00,000046,113139,57332,55807,FECunion,54.538652,15.011180,69.549832,66.617015,14.378180,29
00,000047,113810,55248,58562,FECunion,56.171496,15.587739,71.759235,64.152986,13.935489,31
00,000048,115974,59752,56222,FECunion,53.360979,15.436086,68.797065,64.783262,14.535504,29
00,000049,117156,61324,55832,FECunion,61.450121,15.110206,76.560327,66.180435,13.061595,31
00,000050,118636,59202,59434,FECunion,74.463443,15.932909,90.396352,62.763178,11.062393,31
00,000051,119830,65683,54147,FECunion,53.241223,14.640269,67.881492,68.304756,14.731556,32
00,000052,120796,54500,66296,FECunion,155.893813,17.639078,173.532891,56.692306,5.762596,34
00,000053,121891,67655,54236,FECunion,62.945671,14.640259,77.585930,68.304803,12.888935,31
00,000054,122639,66380,56259,FECunion,68.383876,15.967538,84.351414,62.627062,11.855166,30
00,000055,123343,59686,63657,FECunion,198.880096,17.443175,216.323271,57.329013,4.622711,37
00,000056,123232,55080,68152,FECunion,224.720597,18.036645,242.757242,55.442683,4.119342,37
00,000057,123130,55311,67819,FECunion,277.068753,18.169750,295.238503,55.036530,3.387092,39
00,000058,122929,57305,65624,FECunion,368.941712,17.550002,386.491714,56.980050,2.587378,42
00,000059,122703,49373,73330,FECunion,271.573659,20.772162,292.345821,48.141354,3.420606,41
00,000060,122569,56260,66309,FECunion,251.330229,19.247161,270.577390,51.955714,3.695800,36
00,000061,122161,51238,70923,FECunion,323.635043,18.973402,342.608445,52.705361,2.918784,43
00,000062,121732,68804,52928,FECunion,76.952113,14.103840,91.055953,70.902676,10.982258,36
00,000063,120696,69019,51677,FECunion,101.322884,13.953593,115.276477,71.666129,8.674797,36
00,000064,120938,62621,58317,FECunion,83.060092,15.802264,98.862356,63.282071,10.115074,29
00,000065,121051,64116,56935,FECunion,84.099877,15.539462,99.639339,64.352292,10.036197,30
00,000066,121199,59055,62144,FECunion,182.821173,17.701169,200.522342,56.493444,4.986975,34
00,000067,121116,49970,71146,FECunion,143.141223,18.601716,161.742939,53.758481,6.182650,37
00,000068,121081,49956,71125,FECunion,184.613459,18.761694,203.375153,53.300091,4.917022,37
00,000069,121097,68357,52740,FECunion,65.656453,13.856601,79.513054,72.167770,12.576551,30
00,000070,120793,67553,53240,FECunion,43.919411,14.605272,58.524683,68.468427,17.086808,31
00,000071,120492,67617,52875,FECunion,57.057390,13.814282,70.871672,72.388851,14.110010,28
00,000072,120282,60045,60237,FECunion,85.912761,16.260662,102.173423,61.498111,9.787281,34
00,000073,120036,68403,51633,FECunion,30.634530,14.001529,44.636059,71.420771,22.403412,27
00,000074,119747,59332,60415,FECunion,69.908197,15.902095,85.810292,62.884796,11.653614,32
00,000075,119053,67073,51980,FECunion,35.373765,14.001493,49.375258,71.420955,20.253059,32
00,000076,118742,66752,51990,FECunion,55.380733,13.411304,68.792037,74.563965,14.536566,39
00,000077,118174,58761,59413,FECunion,67.709030,15.749236,83.458266,63.495144,11.982037,37
00,000078,117478,55650,61828,FECunion,55.684122,16.221912,71.906034,61.645014,13.907039,32
00,000079,117445,66741,50704,FECunion,33.757785,13.433616,47.191401,74.440121,21.190301,36
00,000080,117412,60895,56517,FECunion,103.775902,15.168572,118.944474,65.925784,8.407284,36
00,000081,117740,60457,57283,FECunion,109.914372,15.296516,125.210888,65.374364,7.986526,41
00,000082,117977,62469,55508,FECunion,108.322990,14.858796,123.181786,67.300204,8.118083,36
00,000083,118573,67032,51541,FECunion,31.658677,13.750402,45.409079,72.725147,22.022028,36
00,000084,119351,61112,58239,FECunion,48.081927,16.505176,64.587103,60.587055,15.482967,37
00,000085,119125,63309,55816,FECunion,44.888375,15.406172,60.294547,64.909051,16.585248,41
00,000086,119352,61157,58195,FECunion,150.782895,15.773831,166.556726,63.396140,6.003960,38
00,000087,119815,67141,52674,FECunion,56.320148,14.188982,70.509130,70.477220,14.182560,36
00,000088,120067,61611,58456,FECunion,68.546391,16.158726,84.705117,61.886067,11.805662,39
00,000089,120549,55554,64995,FECunion,222.819330,18.207646,241.026976,54.921982,4.148913,35
00,000090,120965,63574,57391,FECunion,76.950087,15.974287,92.924374,62.600603,10.761439,33
00,000091,121333,61427,59906,FECunion,91.737601,16.729417,108.467018,59.774946,9.219392,35
00,000092,121500,71322,50178,FECunion,87.487946,14.062354,101.550300,71.111849,9.847337,33
00,000093,121595,65993,55602,FECunion,75.946332,15.676784,91.623116,63.788593,10.914276,34
00,000094,121618,65796,55822,FECunion,77.345006,15.335612,92.680618,65.207701,10.789742,36
00,000095,121671,67417,54254,FECunion,75.275336,15.767629,91.042965,63.421076,10.983825,37
00,000096,121760,68570,53190,FECunion,92.538497,14.796685,107.335182,67.582705,9.316610,33
00,000097,121951,67909,54042,FECunion,118.886119,15.413199,134.299318,64.879458,7.446054,34
00,000098,122234,69023,53211,FECunion,99.354509,15.506090,114.860599,64.490790,8.706206,37
00,000099,122492,71997,50495,FECunion,126.859832,14.540672,141.400504,68.772612,7.072111,39
