sequence,frames,algorithm,avg_csf_ms,avg_cluster_ms,avg_total_ms,avg_cluster_fps,avg_total_fps,avg_nonground_points,min_nonground_points,max_nonground_points
00,100,FECunion,85.835592,15.126107,100.961699,66.110863,9.904746,55410.880000,42654,73330
01,100,FECunion,109.542657,9.977371,119.520028,100.226801,8.366799,25505.790000,14082,40795
02,100,FECunion,150.501856,7.401544,157.903400,135.106946,6.332986,19422.670000,11409,36861
03,100,FECunion,94.469169,14.900669,109.369838,67.111081,9.143289,47128.710000,31299,71208
04,100,FECunion,114.273334,14.170790,128.444124,70.567695,7.785487,44095.940000,28486,52124
05,100,FECunion,86.602985,14.493691,101.096676,68.995538,9.891522,46808.840000,38380,55514
06,100,FECunion,144.081071,13.070776,157.151847,76.506552,6.363272,38848.070000,26017,59225
07,100,FECunion,103.933903,19.780382,123.714285,50.555141,8.083141,69144.760000,45660,116453
08,100,FECunion,250.573313,12.795635,263.368948,78.151653,3.796955,35716.190000,30182,45524
09,100,FECunion,54.813595,15.992263,70.805858,62.530238,14.123125,49316.510000,26078,65074
10,100,FECunion,89.770167,12.009285,101.779452,83.268904,9.825166,33159.870000,21764,55665
