sequence,frame_id,raw_points,removed_ground_points,nonground_points,algorithm,csf_ms,cluster_ms,total_ms,cluster_fps,total_fps,clusters
00,000000,124668,82014,42654,RG,91.852979,247.655686,339.508665,4.037864,2.945433,39
00,000001,124605,80525,44080,RG,75.465786,237.282293,312.748079,4.214389,3.197462,40
00,000002,124478,80250,44228,RG,65.364488,236.879873,302.244361,4.221549,3.308581,44
00,000003,124167,77819,46348,RG,55.909743,250.792936,306.702679,3.987353,3.260487,49
00,000004,123969,77729,46240,RG,59.944987,252.453813,312.398800,3.961121,3.201037,54
00,000005,123924,77161,46763,RG,50.692142,251.923920,302.616062,3.969452,3.304517,59
00,000006,123373,73312,50061,RG,42.819696,276.484798,319.304494,3.616835,3.131807,59
00,000007,122765,75808,46957,RG,42.136000,258.766307,300.902307,3.864491,3.323338,54
00,000008,122123,72661,49462,RG,37.998884,281.880865,319.879749,3.547598,3.126175,48
00,000009,121357,70969,50388,RG,45.217467,280.645181,325.862648,3.563218,3.068778,49
00,000010,121018,70158,50860,RG,37.915178,282.471419,320.386597,3.540181,3.121229,50
00,000011,120945,67417,53528,RG,39.667804,302.159933,341.827737,3.309506,2.925450,51
00,000012,120503,67520,52983,RG,37.561414,303.730996,341.292410,3.292387,2.930039,49
00,000013,120295,66724,53571,RG,58.359485,305.889430,364.248915,3.269155,2.745375,65
00,000014,120406,66320,54086,RG,72.577363,305.574768,378.152131,3.272522,2.644438,64
00,000015,121023,68474,52549,RG,61.785159,295.638012,357.423171,3.382515,2.797804,55
00,000016,121842,69614,52228,RG,54.842618,295.018135,349.860753,3.389622,2.858280,55
00,000017,123107,73099,50008,RG,66.475284,280.618914,347.094198,3.563552,2.881062,53
00,000018,123940,74162,49778,RG,69.592619,281.796604,351.389223,3.548659,2.845847,45
00,000019,124301,74889,49412,RG,82.197962,279.360925,361.558887,3.579599,2.765801,43
00,000020,124553,75689,48864,RG,75.247208,271.295211,346.542419,3.686022,2.885650,49
00,000021,124656,74220,50436,RG,119.040434,285.893506,404.933940,3.497806,2.469539,35
00,000022,124644,73075,51569,RG,113.180396,300.824038,414.004434,3.324202,2.415433,52
00,000023,124526,73284,51242,RG,77.812620,283.347600,361.160220,3.529234,2.768854,41
00,000024,124520,70154,54366,RG,83.616476,295.181863,378.798339,3.387742,2.639927,45
00,000025,124600,74036,50564,RG,63.748653,271.133665,334.882318,3.688218,2.986124,41
00,000026,124550,69784,54766,RG,65.260513,291.020714,356.281227,3.436182,2.806772,43
00,000027,124242,71079,53163,RG,65.331112,280.046447,345.377559,3.570836,2.895382,34
00,000028,124163,65827,58336,RG,136.181021,308.107745,444.288766,3.245618,2.250788,50
00,000029,124018,68430,55588,RG,69.149160,308.572478,377.721638,3.240730,2.647452,47
00,000030,124134,66146,57988,RG,51.821164,320.021118,371.842282,3.124794,2.689312,53
00,000031,124140,63614,60526,RG,48.691673,336.034750,384.726423,2.975883,2.599250,57
00,000032,123932,58837,65095,RG,75.462812,373.300122,448.762934,2.678810,2.228348,66
00,000033,123826,71147,52679,RG,66.859627,296.035151,362.894778,3.377977,2.755620,49
00,000034,123502,71331,52171,RG,42.799750,285.434788,328.234538,3.503427,3.046602,48
00,000035,123006,68832,54174,RG,43.651597,294.732672,338.384269,3.392905,2.955220,53
00,000036,122749,61576,61173,RG,52.435364,331.291564,383.726928,3.018489,2.606020,66
00,000037,122379,68644,53735,RG,45.420361,296.239866,341.660227,3.375643,2.926884,54
00,000038,121738,68090,53648,RG,51.078717,295.638827,346.717544,3.382506,2.884192,57
00,000039,121497,67306,54191,RG,55.798610,291.121399,346.920009,3.434993,2.882509,52
00,000040,121148,69786,51362,RG,52.180308,273.334547,325.514855,3.658520,3.072056,51
00,000041,120359,64722,55637,RG,45.966042,300.730247,346.696289,3.325239,2.884369,56
00,000042,119454,67757,51697,RG,36.902632,278.525466,315.428098,3.590336,3.170295,59
00,000043,118399,62688,55711,RG,29.771276,307.966230,337.737506,3.247109,2.960879,64
00,000044,116881,61290,55591,RG,40.525453,299.324676,339.850129,3.340854,2.942474,63
00,000045,114496,61115,53381,RG,42.572323,290.782463,333.354786,3.438997,2.999807,49
00,000046,113139,57332,55807,RG,56.361200,307.211760,363.572960,3.255084,2.750480,54
00,000047,113810,55248,58562,RG,57.204253,328.958032,386.162285,3.039901,2.589585,52
00,000048,115974,59752,56222,RG,57.394590,302.796415,360.191005,3.302549,2.776305,50
00,000049,117156,61324,55832,RG,63.055565,302.978483,366.034048,3.300564,2.731986,55
00,000050,118636,59202,59434,RG,80.834530,333.034260,413.868790,3.002694,2.416225,54
00,000051,119830,65683,54147,RG,56.768554,295.058415,351.826969,3.389159,2.842306,44
00,000052,120796,54500,66296,RG,166.887151,366.169996,533.057147,2.730972,1.875971,69
00,000053,121891,67655,54236,RG,68.886052,292.200500,361.086552,3.422308,2.769419,54
00,000054,122639,66380,56259,RG,73.937693,312.989782,386.927475,3.194992,2.584464,54
00,000055,123343,59686,63657,RG,212.009357,351.175677,563.185034,2.847578,1.775615,57
00,000056,123232,55080,68152,RG,241.394219,381.781428,623.175647,2.619300,1.604684,62
00,000057,123130,55311,67819,RG,306.087274,383.098383,689.185657,2.610296,1.450988,60
00,000058,122929,57305,65624,RG,398.823798,366.813294,765.637092,2.726183,1.306102,66
00,000059,122703,49373,73330,RG,291.253181,417.205560,708.458741,2.396900,1.411515,78
00,000060,122569,56260,66309,RG,258.775487,368.494479,627.269966,2.713745,1.594210,75
00,000061,122161,51238,70923,RG,342.470174,399.585050,742.055224,2.502596,1.347609,66
00,000062,121732,68804,52928,RG,81.106140,296.222604,377.328744,3.375840,2.650209,43
00,000063,120696,69019,51677,RG,107.564607,280.957183,388.521790,3.559261,2.573858,38
00,000064,120938,62621,58317,RG,87.733902,324.722805,412.456707,3.079550,2.424497,58
00,000065,121051,64116,56935,RG,89.934567,314.845898,404.780465,3.176157,2.470475,61
00,000066,121199,59055,62144,RG,184.448340,344.211009,528.659349,2.905195,1.891577,52
00,000067,121116,49970,71146,RG,150.054587,392.995886,543.050473,2.544556,1.841449,71
00,000068,121081,49956,71125,RG,189.732434,389.711663,579.444097,2.566000,1.725792,64
00,000069,121097,68357,52740,RG,66.316854,279.289283,345.606137,3.580517,2.893467,55
00,000070,120793,67553,53240,RG,45.632104,284.224130,329.856234,3.518350,3.031624,58
00,000071,120492,67617,52875,RG,56.828135,289.092134,345.920269,3.459105,2.890840,51
00,000072,120282,60045,60237,RG,87.695201,327.612003,415.307204,3.052391,2.407856,61
00,000073,120036,68403,51633,RG,32.719363,276.673978,309.393341,3.614362,3.232132,57
00,000074,119747,59332,60415,RG,71.564500,328.744276,400.308776,3.041878,2.498072,71
00,000075,119053,67073,51980,RG,34.415149,281.527906,315.943055,3.552046,3.165127,55
00,000076,118742,66752,51990,RG,58.012639,286.242487,344.255126,3.493541,2.904822,60
00,000077,118174,58761,59413,RG,69.967118,323.083071,393.050189,3.095179,2.544204,55
00,000078,117478,55650,61828,RG,57.689927,340.005517,397.695444,2.941129,2.514487,67
00,000079,117445,66741,50704,RG,35.351926,269.952198,305.304124,3.704360,3.275423,59
00,000080,117412,60895,56517,RG,108.904366,306.960405,415.864771,3.257749,2.404628,67
00,000081,117740,60457,57283,RG,113.563733,313.025592,426.589325,3.194627,2.344175,65
00,000082,117977,62469,55508,RG,110.945586,303.202152,414.147738,3.298130,2.414597,70
00,000083,118573,67032,51541,RG,32.863243,283.865743,316.728986,3.522792,3.157273,64
00,000084,119351,61112,58239,RG,49.353704,321.752566,371.106270,3.107978,2.694646,69
00,000085,119125,63309,55816,RG,45.984051,308.036410,354.020461,3.246369,2.824695,69
00,000086,119352,61157,58195,RG,158.011393,320.223880,478.235273,3.122815,2.091021,79
00,000087,119815,67141,52674,RG,57.376514,284.933745,342.310259,3.509588,2.921326,60
00,000088,120067,61611,58456,RG,73.614746,323.238879,396.853625,3.093687,2.519821,74
00,000089,120549,55554,64995,RG,230.543759,364.434463,594.978222,2.743978,1.680734,76
00,000090,120965,63574,57391,RG,81.084953,325.211108,406.296061,3.074926,2.461259,61
00,000091,121333,61427,59906,RG,100.260304,347.393830,447.654134,2.878577,2.233867,70
00,000092,121500,71322,50178,RG,95.273489,284.274511,379.548000,3.517727,2.634713,55
00,000093,121595,65993,55602,RG,84.268234,316.561934,400.830168,3.158940,2.494822,62
00,000094,121618,65796,55822,RG,87.355091,315.106863,402.461954,3.173527,2.484707,70
00,000095,121671,67417,54254,RG,82.694861,308.498031,391.192892,3.241512,2.556284,55
00,000096,121760,68570,53190,RG,98.556721,301.212921,399.769642,3.319911,2.501441,60
00,000097,121951,67909,54042,RG,130.092361,308.122851,438.215212,3.245459,2.281984,64
00,000098,122234,69023,53211,RG,109.444137,306.245100,415.689237,3.265358,2.405643,58
00,000099,122492,71997,50495,RG,159.535350,284.984311,444.519661,3.508965,2.249619,46
01,000000,122829,102327,20502,RG,139.145853,118.543109,257.688962,8.435750,3.880647,8
01,000001,122766,102606,20160,RG,115.833083,116.311614,232.144697,8.597594,4.307658,7
01,000002,122724,103733,18991,RG,104.436310,109.046310,213.482620,9.170416,4.684222,11
01,000003,122780,104347,18433,RG,140.058700,105.632507,245.691207,9.466783,4.070150,10
01,000004,122755,104762,17993,RG,121.127705,104.642036,225.769741,9.556389,4.429292,10
01,000005,122901,105237,17664,RG,125.649488,101.174244,226.823732,9.883938,4.408710,8
01,000006,122768,105445,17323,RG,117.117720,98.413799,215.531519,10.161177,4.639693,9
01,000007,122826,105845,16981,RG,123.324996,93.699357,217.024353,10.672432,4.607778,9
01,000008,122447,105657,16790,RG,120.705035,88.046692,208.751727,11.357610,4.790380,8
