sequence,frames,algorithm,avg_csf_ms,avg_cluster_ms,avg_total_ms,avg_cluster_fps,avg_total_fps,avg_nonground_points,min_nonground_points,max_nonground_points
00,100,RG,90.475195,306.399128,396.874323,3.263717,2.519689,55410.880000,42654,73330
01,100,RG,112.644504,157.255447,269.899951,6.359080,3.705077,25505.790000,14082,40795
02,100,RG,154.027609,109.669565,263.697173,9.118300,3.792229,19422.670000,11409,36861
03,100,RG,96.828369,271.597172,368.425541,3.681923,2.714253,47128.710000,31299,71208
04,100,RG,119.787431,265.977007,385.764438,3.759723,2.592256,44095.940000,28486,52124
05,100,RG,88.140646,264.592176,352.732822,3.779401,2.835007,46808.840000,38380,55514
06,100,RG,138.506995,208.659440,347.166436,4.792498,2.880463,38848.070000,26017,59225
07,100,RG,105.195170,390.987346,496.182516,2.557628,2.015387,69144.760000,45660,116453
08,100,RG,251.836775,190.517159,442.353934,5.248871,2.260633,35716.190000,30182,45524
09,100,RG,51.435626,316.344042,367.779668,3.161115,2.719019,49316.510000,26078,65074
10,100,RG,87.839089,216.238703,304.077792,4.624519,3.288632,33159.870000,21764,55665
