sequence,valid_frames,skipped_frames,algorithm,max_n,repeats,trim_each_side,avg_ms,avg_fps,avg_nonground_points,min_nonground_points,max_nonground_points
00,4541,0,FEC,50,7,1,27.970922,35.751414,74825.869192,46560,101175
01,1101,0,FEC,50,7,1,20.942428,47.749954,45470.705722,19488,74727
02,4661,0,FEC,50,7,1,26.717114,37.429193,67931.682901,17507,90284
03,801,0,FEC,50,7,1,28.270246,35.372880,67657.277154,47824,96995
04,271,0,FEC,50,7,1,27.282343,36.653744,61251.682657,34198,78967
05,2761,0,FEC,50,7,1,29.346598,34.075500,74478.356393,41848,103854
06,1101,0,FEC,50,7,1,17.226463,58.050223,46722.097184,32963,69836
07,1101,0,FEC,50,7,1,26.835492,37.264083,73681.151680,49909,94831
08,4071,0,FEC,50,7,1,27.991514,35.725113,68857.490543,34599,108824
09,1591,0,FEC,50,7,1,27.840888,35.918395,66155.913262,27881,91135
10,1201,0,FEC,50,7,1,30.521370,32.763928,80110.542881,30951,114154
