sequence,valid_frames,skipped_frames,algorithm,max_n,repeats,trim_each_side,avg_ms,avg_fps,avg_nonground_points,min_nonground_points,max_nonground_points
00,4541,0,FECunion,0,7,1,17.962097,55.672786,74825.869192,46560,101175
01,1101,0,FECunion,0,7,1,13.195506,75.783376,45470.705722,19488,74727
02,4661,0,FECunion,0,7,1,16.607657,60.213190,67931.682901,17507,90284
03,801,0,FECunion,0,7,1,17.276403,57.882419,67657.277154,47824,96995
04,271,0,FECunion,0,7,1,17.158827,58.279042,61251.682657,34198,78967
05,2761,0,FECunion,0,7,1,18.251437,54.790206,74478.356393,41848,103854
06,1101,0,FECunion,0,7,1,12.869089,77.705580,46722.097184,32963,69836
07,1101,0,FECunion,0,7,1,17.312427,57.761978,73681.151680,49909,94831
08,4071,0,FECunion,0,7,1,17.570982,56.912015,68857.490543,34599,108824
09,1591,0,FECunion,0,7,1,17.022325,58.746380,66155.913262,27881,91135
10,1201,0,FECunion,0,7,1,18.979710,52.687844,80110.542881,30951,114154
