sequence,valid_frames,skipped_frames,avg_nonground_points,FECunion_maxn0_ms,FECunion_maxn0_fps,FECunion_maxn50_ms,FECunion_maxn50_fps,FEC_maxn0_ms,FEC_maxn0_fps,FEC_maxn50_ms,FEC_maxn50_fps
00,4541,0,74825.869192,17.962097,55.672786,20.531309,48.706100,25.862646,38.665803,27.970922,35.751414
01,1101,0,45470.705722,13.195506,75.783376,13.393356,74.663887,20.867662,47.921037,20.942428,47.749954
02,4661,0,67931.682901,16.607657,60.213190,18.962564,52.735485,24.739072,40.421888,26.717114,37.429193
03,801,0,67657.277154,17.276403,57.882419,18.653570,53.609042,27.028442,36.998063,28.270246,35.372880
04,271,0,61251.682657,17.158827,58.279042,17.435254,57.355059,27.106937,36.890926,27.282343,36.653744
05,2761,0,74478.356393,18.251437,54.790206,20.566364,48.623083,27.243461,36.706056,29.346598,34.075500
06,1101,0,46722.097184,12.869089,77.705580,13.478658,74.191362,16.827288,59.427283,17.226463,58.050223
07,1101,0,73681.151680,17.312427,57.761978,19.842493,50.396893,24.560961,40.715020,26.835492,37.264083
08,4071,0,68857.490543,17.570982,56.912015,19.365768,51.637507,26.280045,38.051686,27.991514,35.725113
09,1591,0,66155.913262,17.022325,58.746380,18.308151,54.620480,26.765442,37.361609,27.840888,35.918395
10,1201,0,80110.542881,18.979710,52.687844,22.580911,44.285192,27.816324,35.950114,30.521370,32.763928
