sequence,frames,skipped_frames,algorithm,avg_ms,avg_fps,avg_nonground_points,min_nonground_points,max_nonground_points
00,4540,1,EC,223.906456,4.466151,74825.779956,46560,101175
01,1101,0,EC,67.507613,14.813144,45470.705722,19488,74727
02,4660,1,EC,215.210114,4.646622,67929.317167,17507,90284
03,801,0,EC,156.289044,6.398401,67657.277154,47824,96995
04,271,0,EC,102.057066,9.798440,61251.682657,34198,78967
05,2761,0,EC,226.518440,4.414652,74478.356393,41848,103854
06,1101,0,EC,114.907705,8.702637,46722.097184,32963,69836
07,1101,0,EC,245.064281,4.080562,73681.151680,49909,94831
08,4071,0,EC,213.457251,4.684779,68857.490543,34599,108824
09,1591,0,EC,156.923190,6.372544,66155.913262,27881,91135
10,1201,0,EC,370.078307,2.702131,80110.542881,30951,114154
