sequence,frames,skipped_frames,algorithm,avg_ms,avg_fps,avg_nonground_points,min_nonground_points,max_nonground_points
00,4540,1,FEC,30.688806,32.585171,74825.779956,46560,101175
01,1101,0,FEC,23.568064,42.430299,45470.705722,19488,74727
02,4660,1,FEC,29.371369,34.046761,67929.317167,17507,90284
03,801,0,FEC,30.958366,32.301447,67657.277154,47824,96995
04,271,0,FEC,30.133013,33.186194,61251.682657,34198,78967
05,2761,0,FEC,32.252370,31.005473,74478.356393,41848,103854
06,1101,0,FEC,19.474646,51.348815,46722.097184,32963,69836
07,1101,0,FEC,29.471006,33.931655,73681.151680,49909,94831
08,4071,0,FEC,30.735922,32.535220,68857.490543,34599,108824
09,1591,0,FEC,29.730267,33.635756,66155.913262,27881,91135
10,1201,0,FEC,34.071839,29.349751,80110.542881,30951,114154
