sequence,frames,skipped_frames,algorithm,avg_ms,avg_fps,avg_nonground_points,min_nonground_points,max_nonground_points
00,4540,1,FECunion,22.718981,44.016058,74825.779956,46560,101175
01,1101,0,FECunion,15.680556,63.773249,45470.705722,19488,74727
02,4660,1,FECunion,21.379747,46.773238,67929.317167,17507,90284
03,801,0,FECunion,21.712193,46.057070,67657.277154,47824,96995
04,271,0,FECunion,20.444427,48.913085,61251.682657,34198,78967
05,2761,0,FECunion,22.990305,43.496595,74478.356393,41848,103854
06,1101,0,FECunion,15.640397,63.936996,46722.097184,32963,69836
07,1101,0,FECunion,22.203278,45.038395,73681.151680,49909,94831
08,4071,0,FECunion,21.809569,45.851433,68857.490543,34599,108824
09,1591,0,FECunion,20.526857,48.716664,66155.913262,27881,91135
10,1201,0,FECunion,25.104501,39.833495,80110.542881,30951,114154
