sequence,frame_id,raw_points,removed_ground_points,nonground_points,algorithm,ms,fps,clusters
00,000000,124668,67873,56795,FECunion,21.426447,46.671294,42
00,000001,124605,66737,57868,FECunion,23.350882,42.824935,41
00,000002,124478,65618,58860,FECunion,17.864212,55.977840,37
00,000003,124167,64437,59730,FECunion,18.639805,53.648630,45
00,000004,123969,63813,60156,FECunion,18.232174,54.848094,43
00,000005,123924,63003,60921,FECunion,18.375779,54.419462,39
00,000006,123373,61294,62079,FECunion,18.353510,54.485491,37
00,000007,122765,59150,63615,FECunion,19.087601,52.390031,37
00,000008,122123,57683,64440,FECunion,19.054008,52.482396,33
00,000009,121357,56195,65162,FECunion,20.233986,49.421800,37
00,000010,121018,53756,67262,FECunion,19.155151,52.205279,38
00,000011,120945,51693,69252,FECunion,19.862979,50.344916,34
00,000012,120503,50294,70209,FECunion,21.226055,47.111910,35
00,000013,120295,48871,71424,FECunion,21.747023,45.983305,32
00,000014,120406,47911,72495,FECunion,20.943869,47.746670,36
00,000015,121023,48652,72371,FECunion,21.209546,47.148581,36
00,000016,121842,49544,72298,FECunion,20.622229,48.491363,32
00,000017,123107,50988,72119,FECunion,21.595520,46.305900,38
00,000018,123940,52207,71733,FECunion,20.443980,48.914155,37
00,000019,124301,52622,71679,FECunion,20.063928,49.840689,40
00,000020,124553,52926,71627,FECunion,20.520706,48.731267,42
00,000021,124656,53006,71650,FECunion,21.087434,47.421607,38
00,000022,124644,52630,72014,FECunion,20.306949,49.244227,40
00,000023,124526,52426,72100,FECunion,20.666291,48.387976,41
00,000024,124520,52569,71951,FECunion,20.324967,49.200572,42
00,000025,124600,53457,71143,FECunion,22.772027,43.913526,37
00,000026,124550,54080,70470,FECunion,20.220790,49.454052,38
00,000027,124242,53949,70293,FECunion,19.979203,50.052047,41
00,000028,124163,53635,70528,FECunion,19.358346,51.657306,41
00,000029,124018,52804,71214,FECunion,19.072975,52.430206,37
00,000030,124134,51772,72362,FECunion,19.260357,51.920118,34
00,000031,124140,51113,73027,FECunion,18.905098,52.895785,36
00,000032,123932,50879,73053,FECunion,18.931907,52.820881,34
00,000033,123826,50812,73014,FECunion,18.873772,52.983580,33
00,000034,123502,50987,72515,FECunion,19.876482,50.310714,39
00,000035,123006,50884,72122,FECunion,18.918680,52.857810,40
00,000036,122749,50302,72447,FECunion,18.903199,52.901099,39
00,000037,122379,49194,73185,FECunion,19.450307,51.413070,38
00,000038,121738,48296,73442,FECunion,19.513129,51.247547,43
00,000039,121497,48781,72716,FECunion,18.993079,52.650758,39
00,000040,121148,48540,72608,FECunion,19.367655,51.632477,39
00,000041,120359,48044,72315,FECunion,18.908429,52.886467,42
00,000042,119454,45996,73458,FECunion,19.105352,52.341354,38
00,000043,118399,44585,73814,FECunion,19.338528,51.710244,37
00,000044,116881,43656,73225,FECunion,18.807781,53.169483,37
00,000045,114496,42628,71868,FECunion,18.940465,52.797014,35
00,000046,113139,42234,70905,FECunion,19.044489,52.508629,36
00,000047,113810,43858,69952,FECunion,18.360880,54.463620,35
00,000048,115974,45392,70582,FECunion,18.153255,55.086540,38
00,000049,117156,46311,70845,FECunion,22.708428,44.036514,34
00,000050,118636,48121,70515,FECunion,18.702236,53.469542,35
00,000051,119830,49548,70282,FECunion,18.692870,53.496333,37
00,000052,120796,49702,71094,FECunion,18.978129,52.692233,36
00,000053,121891,50840,71051,FECunion,18.486905,54.092343,36
00,000054,122639,51795,70844,FECunion,18.691123,53.501333,34
00,000055,123343,51762,71581,FECunion,19.213550,52.046603,35
00,000056,123232,51022,72210,FECunion,19.157429,52.199071,37
00,000057,123130,49933,73197,FECunion,19.660163,50.864278,40
00,000058,122929,49146,73783,FECunion,20.152497,49.621642,44
00,000059,122703,48354,74349,FECunion,21.019320,47.575278,42
00,000060,122569,46689,75880,FECunion,20.744797,48.204858,38
00,000061,122161,45517,76644,FECunion,20.865054,47.927027,39
00,000062,121732,45831,75901,FECunion,20.659247,48.404475,39
00,000063,120696,45833,74863,FECunion,20.382579,49.061505,36
00,000064,120938,45425,75513,FECunion,20.532374,48.703574,33
