sequence,frames,skipped_frames,algorithm,avg_ms,avg_fps,avg_nonground_points,min_nonground_points,max_nonground_points
00,4540,1,RG,415.323309,2.407763,74825.779956,46560,101175
01,1101,0,RG,246.015029,4.064792,45470.705722,19488,74727
02,4660,1,RG,390.283294,2.562241,67929.317167,17507,90284
03,801,0,RG,380.717588,2.626619,67657.277154,47824,96995
04,271,0,RG,351.507880,2.844886,61251.682657,34198,78967
05,2761,0,RG,417.757098,2.393736,74478.356393,41848,103854
06,1101,0,RG,242.153662,4.129609,46722.097184,32963,69836
07,1101,0,RG,403.432920,2.478727,73681.151680,49909,94831
08,4071,0,RG,390.341985,2.561856,68857.490543,34599,108824
09,1591,0,RG,380.127386,2.630697,66155.913262,27881,91135
10,1201,0,RG,461.593088,2.166410,80110.542881,30951,114154
