sequence,frames,skipped_frames,avg_nonground_points,min_nonground_points,max_nonground_points,FEC_avg_ms,FEC_avg_fps,FECunion_avg_ms,FECunion_avg_fps,EC_avg_ms,EC_avg_fps,RG_avg_ms,RG_avg_fps
00,4540,1,74825.779956,46560,101175,30.688806,32.585171,22.718981,44.016058,223.906456,4.466151,415.323309,2.407763
01,1101,0,45470.705722,19488,74727,23.568064,42.430299,15.680556,63.773249,67.507613,14.813144,246.015029,4.064792
02,4660,1,67929.317167,17507,90284,29.371369,34.046761,21.379747,46.773238,215.210114,4.646622,390.283294,2.562241
03,801,0,67657.277154,47824,96995,30.958366,32.301447,21.712193,46.057070,156.289044,6.398401,380.717588,2.626619
04,271,0,61251.682657,34198,78967,30.133013,33.186194,20.444427,48.913085,102.057066,9.798440,351.507880,2.844886
05,2761,0,74478.356393,41848,103854,32.252370,31.005473,22.990305,43.496595,226.518440,4.414652,417.757098,2.393736
06,1101,0,46722.097184,32963,69836,19.474646,51.348815,15.640397,63.936996,114.907705,8.702637,242.153662,4.129609
07,1101,0,73681.151680,49909,94831,29.471006,33.931655,22.203278,45.038395,245.064281,4.080562,403.432920,2.478727
08,4071,0,68857.490543,34599,108824,30.735922,32.535220,21.809569,45.851433,213.457251,4.684779,390.341985,2.561856
09,1591,0,66155.913262,27881,91135,29.730267,33.635756,20.526857,48.716664,156.923190,6.372544,380.127386,2.630697
10,1201,0,80110.542881,30951,114154,34.071839,29.349751,25.104501,39.833495,370.078307,2.702131,461.593088,2.166410
