x,y,z,r,g,b
18.638599,9.110238,0.909355,135,216,246
18.573200,9.151207,0.908344,135,216,246
18.536804,9.206173,0.908331,135,216,246
18.536415,9.278134,0.909315,135,216,246
17.786371,9.080147,0.883326,135,216,246
17.716974,9.115118,0.882315,135,216,246
17.682577,9.168084,0.882302,135,216,246
17.697189,9.246043,0.883286,135,216,246
18.192827,9.578927,0.903238,135,216,246
18.241640,9.640901,0.906227,135,216,246
18.560266,9.884809,0.919190,135,216,246
18.573875,9.967768,0.921174,135,216,246
18.449726,9.174185,0.773334,135,216,246
18.291317,9.168168,0.769329,135,216,246
18.429935,9.310108,0.775304,135,216,246
17.737289,9.067152,0.755326,135,216,246
17.689888,9.114120,0.754314,135,216,246
17.692495,9.186081,0.755299,135,216,246
18.207760,9.597924,0.773234,135,216,246
18.426582,9.749869,0.780212,135,216,246
18.487198,9.855822,0.783193,135,216,246
18.485649,9.205176,0.677329,135,216,246
18.433250,9.252144,0.676316,135,216,246
18.422853,9.320106,0.677302,135,216,246
17.853224,9.138132,0.663316,135,216,246
17.788828,9.176103,0.662305,135,216,246
17.769432,9.237066,0.663291,135,216,246
17.846043,9.349014,0.665271,135,216,246
18.232677,9.624916,0.676230,135,216,246
18.353294,9.762857,0.680207,135,216,246
18.419474,9.201175,0.519327,135,216,246
18.347073,9.238147,0.518316,135,216,246
18.342680,9.308107,0.518301,135,216,246
17.850048,9.166121,0.511310,135,216,246
17.803646,9.214089,0.511298,135,216,246
17.799253,9.283051,0.511283,135,216,246
18.139894,9.531960,0.517245,135,216,246
18.135500,9.602921,0.518230,135,216,246
18.437260,9.248156,0.413318,135,216,246
18.339859,9.272130,0.412308,135,216,246
18.316658,9.297114,0.412302,135,216,246
17.937237,9.176131,0.408312,135,216,246
17.858845,9.206104,0.408302,135,216,246
17.871447,9.285064,0.408286,135,216,246
17.922056,9.383017,0.409267,135,216,246
18.158682,9.579941,0.412236,135,216,246
18.207289,9.679893,0.413218,135,216,246
18.078104,9.090201,0.268336,135,216,246
18.229721,9.238141,0.268311,135,216,246
18.184326,9.287108,0.268299,135,216,246
17.861099,9.159136,0.267312,135,216,246
17.811699,9.205105,0.267300,135,216,246
17.825308,9.283063,0.267284,135,216,246
18.029936,9.460994,0.268255,135,216,246
18.104549,9.572944,0.269235,135,216,246
18.292490,9.312111,0.172298,135,216,246
18.106279,9.253119,0.172303,135,216,246
17.983879,9.262098,0.172295,135,216,246
17.953484,9.318065,0.172282,135,216,246
17.950085,9.389027,0.172267,135,216,246
18.161709,9.572954,0.172238,135,216,246
18.128315,9.627920,0.172225,135,216,246
17.800894,9.526932,0.172232,135,216,246
17.771696,9.546917,0.172227,135,216,246
